# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-5.09922504866	1.00794866898e-06	0.000255011013252	0.001	0.253
All within groupA	MN vs. MN	0.499400032658	0.623231113176	1	0.638	1.000
All within groupA	MT vs. MT	-0.838851967488	0.411982413294	1	0.442	1.000
All within groupA	TL vs. TL	-0.399035644804	0.694316336675	1	0.684	1.000
All within groupA	SM vs. SM	0.39060012508	0.70043777812	1	0.719	1.000
All within groupA	TC vs. TC	0.788240918604	0.440280162387	1	0.435	1.000
All within groupA	TA vs. TA	-0.453888374557	0.655051099907	1	0.667	1.000
All within groupA	MN vs. MT	-26.6098692644	7.33527523719e-20	1.85582463501e-17	0.001	0.253
All within groupA	MN vs. TL	-30.577629411	2.51094518721e-21	6.35269132365e-19	0.001	0.253
All within groupA	MN vs. SM	-18.8921357028	2.58170622717e-16	6.53171675474e-14	0.001	0.253
All within groupA	MN vs. TC	-16.1737793352	9.44906525832e-15	2.39061351035e-12	0.001	0.253
All within groupA	MN vs. TA	-12.7045643438	2.093831955e-12	5.29739484615e-10	0.001	0.253
All within groupA	MT vs. TL	-1.99738607938	0.0567765566749	1	0.062	1.000
All within groupA	MT vs. SM	-5.60481397219	7.86414958537e-06	0.0019896298451	0.001	0.253
All within groupA	MT vs. TC	-5.87465182412	3.9598317994e-06	0.00100183744525	0.001	0.253
All within groupA	MT vs. TA	-3.22365523656	0.00350646280128	0.887135088723	0.005	1.000
All within groupA	TL vs. SM	-2.35453784464	0.0267057674283	1	0.036	1.000
All within groupA	TL vs. TC	-15.2574380816	3.56864897189e-14	9.02868189888e-12	0.001	0.253
All within groupA	TL vs. TA	-6.41552683217	1.02157787e-06	0.000258459201111	0.001	0.253
All within groupA	SM vs. TC	-3.92596134532	0.000599064488077	0.151563315483	0.002	0.506
All within groupA	SM vs. TA	-1.88772847248	0.0707232565245	1	0.077	1.000
All within groupA	TC vs. TA	-5.78674140078	4.94838462988e-06	0.00125194131136	0.001	0.253
All between groupA	MN vs. MN	2.20896480358	0.0288509066669	1	0.025	1.000
All between groupA	MT vs. MT	1.88253561617	0.0618996265485	1	0.061	1.000
All between groupA	TL vs. TL	1.9890023102	0.0487074963965	1	0.055	1.000
All between groupA	SM vs. SM	2.18869740486	0.0303257171548	1	0.030	1.000
All between groupA	TC vs. TC	2.26912998279	0.0248345643454	1	0.029	1.000
All between groupA	TA vs. TA	1.97754126865	0.0500022283181	1	0.053	1.000
All between groupA	MN vs. MT	-5.11782939304	9.86400294363e-07	0.000249559274474	0.001	0.253
All between groupA	MN vs. TL	-5.18322420521	7.35368855283e-07	0.000186048320387	0.001	0.253
All between groupA	MN vs. SM	-2.98486590713	0.00334161954397	0.845429744625	0.003	0.759
All between groupA	MN vs. TC	-1.08623057925	0.279217488455	1	0.295	1.000
All between groupA	MN vs. TA	-0.843659006578	0.400278943887	1	0.389	1.000
All between groupA	MT vs. TL	2.69903862903	0.00779821900992	1	0.010	1.000
All between groupA	MT vs. SM	1.55751850512	0.121573392029	1	0.117	1.000
All between groupA	MT vs. TC	-0.406774397399	0.684786146219	1	0.680	1.000
All between groupA	MT vs. TA	2.19201442015	0.0300075603407	1	0.037	1.000
All between groupA	TL vs. SM	2.44870649655	0.0155553994223	1	0.010	1.000
All between groupA	TL vs. TC	-1.55801900836	0.121454701592	1	0.107	1.000
All between groupA	TL vs. TA	1.69913622698	0.0914832689579	1	0.098	1.000
All between groupA	SM vs. TC	1.66374811676	0.0983681361091	1	0.090	1.000
All between groupA	SM vs. TA	2.94562958913	0.00376769423831	0.953226642293	0.002	0.506
All between groupA	TC vs. TA	1.91892309072	0.0570003559849	1	0.065	1.000
MN vs. MN	MT vs. MT	-0.954384081511	0.393934278006	1	0.448	1.000
MN vs. MN	TL vs. TL	-0.63655778614	0.559017233033	1	0.499	1.000
MN vs. MN	SM vs. SM	-0.0405269303811	0.969615198159	1	0.840	1.000
MN vs. MN	TC vs. TC	0.219508009528	0.837000969467	1	0.797	1.000
MN vs. MN	TA vs. TA	-0.714998155025	0.51412327375	1	0.440	1.000
MN vs. MN	MN vs. MT	-13.6608107588	8.55854994684e-08	2.16531313655e-05	0.003	0.759
MN vs. MN	MN vs. TL	-17.5977838122	7.46876173469e-09	1.88959671888e-06	0.002	0.506
MN vs. MN	MN vs. SM	-9.40788834652	2.77311339186e-06	0.000701597688141	0.004	1.000
MN vs. MN	MN vs. TC	-9.40246384822	2.78765446028e-06	0.000705276578452	0.007	1.000
MN vs. MN	MN vs. TA	-6.40958650899	7.7369666962e-05	0.0195745257414	0.001	0.253
MN vs. MN	MT vs. TL	-1.08435881589	0.303656152142	1	0.303	1.000
MN vs. MN	MT vs. SM	-2.91827575719	0.015345710807	1	0.031	1.000
MN vs. MN	MT vs. TC	-2.51461621983	0.030669023242	1	0.044	1.000
MN vs. MN	MT vs. TA	-1.6382046019	0.132418590552	1	0.126	1.000
MN vs. MN	TL vs. SM	-1.20005047738	0.257777557618	1	0.290	1.000
MN vs. MN	TL vs. TC	-7.80097059581	1.46721776261e-05	0.00371206093941	0.003	0.759
MN vs. MN	TL vs. TA	-3.86793209826	0.00311965487164	0.789272682525	0.003	0.759
MN vs. MN	SM vs. TC	-1.86431720532	0.0918615615257	1	0.106	1.000
MN vs. MN	SM vs. TA	-1.20979611065	0.254179254914	1	0.246	1.000
MN vs. MN	TC vs. TA	-3.60194310428	0.00483229333629	1	0.004	1.000
MT vs. MT	TL vs. TL	0.328906219131	0.758726415003	1	0.683	1.000
MT vs. MT	SM vs. SM	0.684693929361	0.531150594667	1	0.724	1.000
MT vs. MT	TC vs. TC	1.60402634829	0.183974570399	1	0.200	1.000
MT vs. MT	TA vs. TA	0.31544371547	0.768196833928	1	0.699	1.000
MT vs. MT	MN vs. MT	-12.9776344456	1.39409671516e-07	3.52706468935e-05	0.007	1.000
MT vs. MT	MN vs. TL	-16.8778555374	1.12004578193e-08	2.83371582827e-06	0.005	1.000
MT vs. MT	MN vs. SM	-8.72629308346	5.45775519762e-06	0.001380812065	0.010	1.000
MT vs. MT	MN vs. TC	-8.50596435805	6.854399561e-06	0.00173416308893	0.003	0.759
MT vs. MT	MN vs. TA	-5.69725764185	0.00019905673997	0.0503613552125	0.003	0.759
MT vs. MT	MT vs. TL	-0.531866517248	0.606431532912	1	0.610	1.000
MT vs. MT	MT vs. SM	-2.21015694298	0.0515469737032	1	0.048	1.000
MT vs. MT	MT vs. TC	-2.18386191654	0.0538924724791	1	0.039	1.000
MT vs. MT	MT vs. TA	-1.07151084594	0.309118346221	1	0.309	1.000
MT vs. MT	TL vs. SM	-0.700962741	0.499311876631	1	0.504	1.000
MT vs. MT	TL vs. TC	-7.07010202486	3.41534942179e-05	0.00864083403714	0.004	1.000
MT vs. MT	TL vs. TA	-2.89509188305	0.0159672796587	1	0.013	1.000
MT vs. MT	SM vs. TC	-1.3785146187	0.198100000723	1	0.192	1.000
MT vs. MT	SM vs. TA	-0.427946693997	0.677759840829	1	0.681	1.000
MT vs. MT	TC vs. TA	-2.58725914218	0.0270769886692	1	0.034	1.000
TL vs. TL	SM vs. SM	0.445068828273	0.679293503684	1	0.798	1.000
TL vs. TL	TC vs. TC	1.13724158867	0.318939209927	1	0.403	1.000
TL vs. TL	TA vs. TA	-0.0383221105691	0.971267207317	1	1.000	1.000
TL vs. TL	MN vs. MT	-13.2316517317	1.15973166336e-07	2.93412110831e-05	0.005	1.000
