	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
TL3	0.0	0.346153846154	0.284615384615	0.247787610619	0.523076923077	0.2875	0.361538461538	0.392307692308	0.7	0.715384615385	0.684615384615	0.276923076923	0.383720930233	0.507692307692	0.426229508197	0.269230769231	0.162162162162	0.593406593407
T2	0.346153846154	0.0	0.362962962963	0.29203539823	0.350364963504	0.3125	0.278409090909	0.251497005988	0.52	0.522988505747	0.380952380952	0.215384615385	0.441860465116	0.297872340426	0.33606557377	0.211538461538	0.216216216216	0.395604395604
TL2	0.284615384615	0.362962962963	0.0	0.203539823009	0.57037037037	0.25	0.355555555556	0.42962962963	0.748148148148	0.8	0.762962962963	0.276923076923	0.395348837209	0.525925925926	0.409836065574	0.115384615385	0.189189189189	0.56043956044
TL1	0.247787610619	0.29203539823	0.203539823009	0.0	0.477876106195	0.2875	0.274336283186	0.309734513274	0.752212389381	0.823008849558	0.761061946903	0.353846153846	0.406976744186	0.433628318584	0.433628318584	0.192307692308	0.189189189189	0.648351648352
TS8	0.523076923077	0.350364963504	0.57037037037	0.477876106195	0.0	0.45	0.335766423358	0.335766423358	0.547445255474	0.467153284672	0.518248175182	0.230769230769	0.523255813953	0.233576642336	0.360655737705	0.230769230769	0.189189189189	0.208791208791
MT209	0.2875	0.3125	0.25	0.2875	0.45	0.0	0.2375	0.375	0.7625	0.8125	0.7625	0.430769230769	0.2875	0.4375	0.3125	0.211538461538	0.297297297297	0.6875
T9	0.361538461538	0.278409090909	0.355555555556	0.274336283186	0.335766423358	0.2375	0.0	0.209580838323	0.54	0.568965517241	0.43537414966	0.230769230769	0.325581395349	0.297872340426	0.27868852459	0.192307692308	0.189189189189	0.384615384615
T1	0.392307692308	0.251497005988	0.42962962963	0.309734513274	0.335766423358	0.375	0.209580838323	0.0	0.56	0.520958083832	0.414965986395	0.307692307692	0.453488372093	0.248226950355	0.393442622951	0.307692307692	0.297297297297	0.362637362637
MN13	0.7	0.52	0.748148148148	0.752212389381	0.547445255474	0.7625	0.54	0.56	0.0	0.213333333333	0.272108843537	0.584615384615	0.790697674419	0.595744680851	0.639344262295	0.673076923077	0.648648648649	0.549450549451
MN12	0.715384615385	0.522988505747	0.8	0.823008849558	0.467153284672	0.8125	0.568965517241	0.520958083832	0.213333333333	0.0	0.183673469388	0.538461538462	0.790697674419	0.496453900709	0.606557377049	0.711538461538	0.756756756757	0.461538461538
MN15	0.684615384615	0.380952380952	0.762962962963	0.761061946903	0.518248175182	0.7625	0.43537414966	0.414965986395	0.272108843537	0.183673469388	0.0	0.553846153846	0.779069767442	0.482269503546	0.590163934426	0.634615384615	0.675675675676	0.472527472527
SM2	0.276923076923	0.215384615385	0.276923076923	0.353846153846	0.230769230769	0.430769230769	0.230769230769	0.307692307692	0.584615384615	0.538461538462	0.553846153846	0.0	0.415384615385	0.230769230769	0.215384615385	0.384615384615	0.297297297297	0.476923076923
MT213	0.383720930233	0.441860465116	0.395348837209	0.406976744186	0.523255813953	0.2875	0.325581395349	0.453488372093	0.790697674419	0.790697674419	0.779069767442	0.415384615385	0.0	0.511627906977	0.46511627907	0.269230769231	0.351351351351	0.686046511628
TS4	0.507692307692	0.297872340426	0.525925925926	0.433628318584	0.233576642336	0.4375	0.297872340426	0.248226950355	0.595744680851	0.496453900709	0.482269503546	0.230769230769	0.511627906977	0.0	0.368852459016	0.230769230769	0.351351351351	0.208791208791
SM4	0.426229508197	0.33606557377	0.409836065574	0.433628318584	0.360655737705	0.3125	0.27868852459	0.393442622951	0.639344262295	0.606557377049	0.590163934426	0.215384615385	0.46511627907	0.368852459016	0.0	0.269230769231	0.162162162162	0.43956043956
MT210	0.269230769231	0.211538461538	0.115384615385	0.192307692308	0.230769230769	0.211538461538	0.192307692308	0.307692307692	0.673076923077	0.711538461538	0.634615384615	0.384615384615	0.269230769231	0.230769230769	0.269230769231	0.0	0.27027027027	0.480769230769
SM5	0.162162162162	0.216216216216	0.189189189189	0.189189189189	0.189189189189	0.297297297297	0.189189189189	0.297297297297	0.648648648649	0.756756756757	0.675675675676	0.297297297297	0.351351351351	0.351351351351	0.162162162162	0.27027027027	0.0	0.486486486486
TS6	0.593406593407	0.395604395604	0.56043956044	0.648351648352	0.208791208791	0.6875	0.384615384615	0.362637362637	0.549450549451	0.461538461538	0.472527472527	0.476923076923	0.686046511628	0.208791208791	0.43956043956	0.480769230769	0.486486486486	0.0
