# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-7.6164184376	2.64932931259e-12	6.70280316087e-10	0.001	0.253
All within groupA	MN vs. MN	1.21582022924	0.23894428445	1	0.214	1.000
All within groupA	MT vs. MT	-0.630522551774	0.535863713521	1	0.536	1.000
All within groupA	TL vs. TL	0.833841359914	0.414730990267	1	0.455	1.000
All within groupA	SM vs. SM	-2.82415865831	0.0108373956516	1	0.009	1.000
All within groupA	TC vs. TC	0.169810236388	0.866954387953	1	0.856	1.000
All within groupA	TA vs. TA	1.34191899192	0.195440137389	1	0.162	1.000
All within groupA	MN vs. MT	-14.4383021497	1.23822847925e-13	3.1327180525e-11	0.001	0.253
All within groupA	MN vs. TL	-11.9808887064	7.43258664891e-12	1.88044442218e-09	0.001	0.253
All within groupA	MN vs. SM	-10.1329335902	2.45459348685e-10	6.21012152174e-08	0.001	0.253
All within groupA	MN vs. TC	-6.36620546468	1.154469755e-06	0.000292080848015	0.001	0.253
All within groupA	MN vs. TA	-4.98726910705	3.85192474611e-05	0.00974536960767	0.001	0.253
All within groupA	MT vs. TL	-4.09716717758	0.000385886938237	0.0976293953738	0.002	0.506
All within groupA	MT vs. SM	-4.39811159317	0.000177334586501	0.0448656503848	0.002	0.506
All within groupA	MT vs. TC	-7.88062540526	3.08729864021e-08	7.81086555974e-06	0.001	0.253
All within groupA	MT vs. TA	-7.305912044	1.17958534201e-07	2.98435091529e-05	0.001	0.253
All within groupA	TL vs. SM	-4.90127233701	4.81247502826e-05	0.0121755618215	0.001	0.253
All within groupA	TL vs. TC	-6.19002318502	1.79071703155e-06	0.000453051408982	0.001	0.253
All within groupA	TL vs. TA	-3.19013983706	0.00380681289437	0.963123662277	0.008	1.000
All within groupA	SM vs. TC	-4.87683872635	5.12691161232e-05	0.0129710863792	0.001	0.253
All within groupA	SM vs. TA	-5.58600479784	8.2511924599e-06	0.00208755169235	0.001	0.253
