	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
TL3	0.0	0.444444444444	0.298113207547	0.300411522634	0.535580524345	0.457142857143	0.457516339869	0.468013468013	0.721428571429	0.756578947368	0.703971119134	0.517948717949	0.509259259259	0.527675276753	0.444444444444	0.582417582418	0.62874251497	0.665158371041
T2	0.444444444444	0.0	0.446945337621	0.446366782007	0.431309904153	0.5703125	0.278409090909	0.271137026239	0.558282208589	0.525714285714	0.43653250774	0.576763485477	0.63358778626	0.375394321767	0.456375838926	0.640350877193	0.727699530516	0.588014981273
TL2	0.298113207547	0.446945337621	0.0	0.274193548387	0.573529411765	0.441860465116	0.440514469453	0.490066225166	0.761403508772	0.825242718447	0.77304964539	0.53	0.529411764706	0.536231884058	0.439688715953	0.508021390374	0.651162790698	0.646017699115
TL1	0.300411522634	0.446366782007	0.274193548387	0.0	0.528	0.40932642487	0.432525951557	0.442857142857	0.787072243346	0.8606271777	0.792307692308	0.52808988764	0.48743718593	0.496062992126	0.455319148936	0.490909090909	0.6	0.686274509804
TS8	0.535580524345	0.431309904153	0.573529411765	0.528	0.0	0.594470046083	0.418530351438	0.401315789474	0.567944250871	0.530546623794	0.535211267606	0.50495049505	0.632286995516	0.244604316547	0.397683397683	0.57671957672	0.655172413793	0.368421052632
MT209	0.457142857143	0.5703125	0.441860465116	0.40932642487	0.594470046083	0.0	0.5234375	0.595141700405	0.834782608696	0.88188976378	0.832599118943	0.489655172414	0.313253012048	0.592760180995	0.455445544554	0.378787878788	0.555555555556	0.707602339181
T9	0.457516339869	0.278409090909	0.440514469453	0.432525951557	0.418530351438	0.5234375	0.0	0.230320699708	0.576687116564	0.571428571429	0.486068111455	0.585062240664	0.557251908397	0.375394321767	0.409395973154	0.631578947368	0.718309859155	0.580524344569
T1	0.468013468013	0.271137026239	0.490066225166	0.442857142857	0.401315789474	0.595141700405	0.230320699708	0.0	0.583596214511	0.530791788856	0.452229299363	0.612068965517	0.628458498024	0.311688311688	0.487889273356	0.671232876712	0.745098039216	0.550387596899
MN13	0.721428571429	0.558282208589	0.761403508772	0.787072243346	0.567944250871	0.834782608696	0.576687116564	0.583596214511	0.0	0.271604938272	0.279461279461	0.748837209302	0.847457627119	0.60824742268	0.676470588235	0.831683168317	0.860962566845	0.659751037344
MN12	0.756578947368	0.525714285714	0.825242718447	0.8606271777	0.530546623794	0.88188976378	0.571428571429	0.530791788856	0.271604938272	0.0	0.252336448598	0.748953974895	0.861538461538	0.549206349206	0.675675675676	0.867256637168	0.914691943128	0.630188679245
MN15	0.703971119134	0.43653250774	0.77304964539	0.792307692308	0.535211267606	0.832599118943	0.486068111455	0.452229299363	0.279461279461	0.252336448598	0.0	0.72641509434	0.836909871245	0.493055555556	0.628252788104	0.809045226131	0.869565217391	0.596638655462
SM2	0.517948717949	0.576763485477	0.53	0.52808988764	0.50495049505	0.489655172414	0.585062240664	0.612068965517	0.748837209302	0.748953974895	0.72641509434	0.0	0.496688741722	0.514563106796	0.454545454545	0.452991452991	0.490196078431	0.564102564103
MT213	0.509259259259	0.63358778626	0.529411764706	0.48743718593	0.632286995516	0.313253012048	0.557251908397	0.628458498024	0.847457627119	0.861538461538	0.836909871245	0.496688741722	0.0	0.629955947137	0.557692307692	0.449275362319	0.609756097561	0.694915254237
TS4	0.527675276753	0.375394321767	0.536231884058	0.496062992126	0.244604316547	0.592760180995	0.375394321767	0.311688311688	0.60824742268	0.549206349206	0.493055555556	0.514563106796	0.629955947137	0.0	0.414448669202	0.585492227979	0.730337078652	0.379310344828
SM4	0.444444444444	0.456375838926	0.439688715953	0.455319148936	0.397683397683	0.455445544554	0.409395973154	0.487889273356	0.676470588235	0.675675675676	0.628252788104	0.454545454545	0.557692307692	0.414448669202	0.0	0.563218390805	0.610062893082	0.521126760563
MT210	0.582417582418	0.640350877193	0.508021390374	0.490909090909	0.57671957672	0.378787878788	0.631578947368	0.671232876712	0.831683168317	0.867256637168	0.809045226131	0.452991452991	0.449275362319	0.585492227979	0.563218390805	0.0	0.393258426966	0.622377622378
SM5	0.62874251497	0.727699530516	0.651162790698	0.6	0.655172413793	0.555555555556	0.718309859155	0.745098039216	0.860962566845	0.914691943128	0.869565217391	0.490196078431	0.609756097561	0.730337078652	0.610062893082	0.393258426966	0.0	0.703125
TS6	0.665158371041	0.588014981273	0.646017699115	0.686274509804	0.368421052632	0.707602339181	0.580524344569	0.550387596899	0.659751037344	0.630188679245	0.596638655462	0.564102564103	0.694915254237	0.379310344828	0.521126760563	0.622377622378	0.703125	0.0
