# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-6.90810264807	1.28275039002e-10	3.24535848675e-08	0.001	0.253
All within groupA	MN vs. MN	-2.40660373289	0.0264392386725	1	0.036	1.000
All within groupA	MT vs. MT	1.89843263298	0.072935420912	1	0.063	1.000
All within groupA	TL vs. TL	0.132950554258	0.89563047007	1	0.887	1.000
All within groupA	SM vs. SM	1.58322003628	0.12987494176	1	0.136	1.000
All within groupA	TC vs. TC	-1.24339860785	0.228845382887	1	0.252	1.000
All within groupA	TA vs. TA	0.0670988147588	0.947204095343	1	0.953	1.000
All within groupA	MN vs. MT	-9.42292794357	1.04941269373e-09	2.65501411513e-07	0.001	0.253
All within groupA	MN vs. TL	-9.3859904503	1.13379494027e-09	2.86850119887e-07	0.001	0.253
All within groupA	MN vs. SM	-9.17319210567	1.77636042839e-09	4.49419188383e-07	0.001	0.253
All within groupA	MN vs. TC	-8.29728038644	1.20045591502e-08	3.03715346501e-06	0.001	0.253
All within groupA	MN vs. TA	-7.15350725884	1.6951756009e-07	4.28879427029e-05	0.001	0.253
All within groupA	MT vs. TL	-5.09386391581	2.92396669139e-05	0.00739763572923	0.001	0.253
All within groupA	MT vs. SM	2.01000562343	0.0553383692534	1	0.068	1.000
All within groupA	MT vs. TC	-1.28683235127	0.209941086994	1	0.216	1.000
All within groupA	MT vs. TA	-7.74266114572	4.24244816201e-08	1.07333938499e-05	0.001	0.253
All within groupA	TL vs. SM	-5.76552276316	5.22237389869e-06	0.00132126059637	0.001	0.253
All within groupA	TL vs. TC	-6.20185934939	1.73850098779e-06	0.000439840749911	0.001	0.253
All within groupA	TL vs. TA	-4.50388990639	0.000134823790053	0.0341104188835	0.002	0.506
All within groupA	SM vs. TC	-1.38770050147	0.177473910926	1	0.164	1.000
All within groupA	SM vs. TA	-8.32209147409	1.1356212648e-08	2.87312179995e-06	0.001	0.253
All within groupA	TC vs. TA	-6.90206520239	3.10315734925e-07	7.85098809361e-05	0.001	0.253
All between groupA	MN vs. MN	0.916297320391	0.36113290673	1	0.367	1.000
All between groupA	MT vs. MT	4.52652334244	1.29617706837e-05	0.00327932798297	0.001	0.253
All between groupA	TL vs. TL	3.0470687452	0.00277675186799	0.702518222601	0.006	1.000
All between groupA	SM vs. SM	4.27978377287	3.50657415833e-05	0.00887163262057	0.001	0.253
All between groupA	TC vs. TC	1.83953972476	0.068016427975	1	0.048	1.000
All between groupA	TA vs. TA	2.9925036817	0.00328693914212	0.831595602957	0.007	1.000
All between groupA	MN vs. MT	-2.7073505381	0.00761510828125	1	0.011	1.000
All between groupA	MN vs. TL	-2.67688286187	0.00830594447521	1	0.016	1.000
All between groupA	MN vs. SM	-2.52336600629	0.0127250910592	1	0.013	1.000
All between groupA	MN vs. TC	-1.87094447847	0.0634105993875	1	0.061	1.000
All between groupA	MN vs. TA	-1.01527822042	0.311699994813	1	0.333	1.000
All between groupA	MT vs. TL	0.440745792253	0.660067300135	1	0.661	1.000
