	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
TL3	0.0	0.610712054966	0.403185509057	0.315427857589	0.965958775765	0.841661461587	0.681761399126	0.727826358526	0.993441599001	0.992192379763	0.991021236727	0.96908182386	0.856808244847	0.892410993129	0.911930043723	0.95362273579	0.990943160525	0.982979387883
T2	0.610712054966	0.0	0.613054341037	0.610087445347	0.895690193629	0.866567770144	0.366255465334	0.337601499063	0.953154278576	0.822220487196	0.781698938164	0.966193004372	0.878123048095	0.799266083698	0.878123048095	0.956043098064	0.988522798251	0.969784509681
TL2	0.403185509057	0.613054341037	0.0	0.311758276077	0.805121798876	0.556136789507	0.662242348532	0.715178013741	0.994690818239	0.994690818239	0.992270455965	0.635462211118	0.572454715803	0.59080262336	0.576514678326	0.648891317926	0.656308557152	0.683791380387
TL1	0.315427857589	0.610087445347	0.311758276077	0.0	0.849078700812	0.694643972517	0.669425359151	0.720018738289	0.995705808869	0.996564647096	0.993831980012	0.821986258588	0.717832604622	0.745159275453	0.766942535915	0.806292941911	0.842676452217	0.83650843223
TS8	0.965958775765	0.895690193629	0.805121798876	0.849078700812	0.0	0.798173016864	0.8552467208	0.871408494691	0.969784509681	0.852982510931	0.922001873829	0.791614615865	0.799422236102	0.66216427233	0.741645846346	0.809337913804	0.819253591505	0.56777014366
MT209	0.841661461587	0.866567770144	0.556136789507	0.694643972517	0.798173016864	0.0	0.840646470956	0.854075577764	0.9967207995	0.997267332917	0.994846970643	0.214006870706	0.0988444722049	0.316052467208	0.275687070581	0.16380387258	0.230168644597	0.294971892567
T9	0.681761399126	0.366255465334	0.662242348532	0.669425359151	0.8552467208	0.840646470956	0.0	0.350093691443	0.956355402873	0.836118051218	0.81972204872	0.94144284822	0.84704871955	0.690271705184	0.851577139288	0.931995627733	0.962991880075	0.940896314803
T1	0.727826358526	0.337601499063	0.715178013741	0.720018738289	0.871408494691	0.854075577764	0.350093691443	0.0	0.95198313554	0.82698313554	0.776077451593	0.950577763898	0.878123048095	0.708385384135	0.863835103061	0.944800124922	0.971970643348	0.949094316052
MN13	0.993441599001	0.953154278576	0.994690818239	0.995705808869	0.969784509681	0.9967207995	0.956355402873	0.95198313554	0.0	0.693785134291	0.642567145534	0.995940037477	0.996955028107	0.971892567146	0.980793254216	0.996876951905	0.997501561524	0.982979387883
MN12	0.992192379763	0.822220487196	0.994690818239	0.996564647096	0.852982510931	0.997267332917	0.836118051218	0.82698313554	0.693785134291	0.0	0.599469081824	0.986570893192	0.997111180512	0.866333541537	0.938397876327	0.997267332917	0.998048094941	0.910836976889
MN15	0.991021236727	0.781698938164	0.992270455965	0.993831980012	0.922001873829	0.994846970643	0.81972204872	0.776077451593	0.642567145534	0.599469081824	0.0	0.992895065584	0.994925046846	0.900374765771	0.945971267958	0.994846970643	0.995861961274	0.976108682074
SM2	0.96908182386	0.966193004372	0.635462211118	0.821986258588	0.791614615865	0.214006870706	0.94144284822	0.950577763898	0.995940037477	0.986570893192	0.992895065584	0.0	0.200499687695	0.360633978763	0.226264834478	0.201124297314	0.0334166146159	0.284978138663
MT213	0.856808244847	0.878123048095	0.572454715803	0.717832604622	0.799422236102	0.0988444722049	0.84704871955	0.878123048095	0.996955028107	0.997111180512	0.994925046846	0.200499687695	0.0	0.340958775765	0.262414116177	0.139444097439	0.201358525921	0.273969394129
TS4	0.892410993129	0.799266083698	0.59080262336	0.745159275453	0.66216427233	0.316052467208	0.690271705184	0.708385384135	0.971892567146	0.866333541537	0.900374765771	0.360633978763	0.340958775765	0.0	0.335337289194	0.369846970643	0.392254840725	0.310587133042
SM4	0.911930043723	0.878123048095	0.576514678326	0.766942535915	0.741645846346	0.275687070581	0.851577139288	0.863835103061	0.980793254216	0.938397876327	0.945971267958	0.226264834478	0.262414116177	0.335337289194	0.0	0.2302467208	0.244378513429	0.297158026234
MT210	0.95362273579	0.956043098064	0.648891317926	0.806292941911	0.809337913804	0.16380387258	0.931995627733	0.944800124922	0.996876951905	0.997267332917	0.994846970643	0.201124297314	0.139444097439	0.369846970643	0.2302467208	0.0	0.188554028732	0.258354153654
SM5	0.990943160525	0.988522798251	0.656308557152	0.842676452217	0.819253591505	0.230168644597	0.962991880075	0.971970643348	0.997501561524	0.998048094941	0.995861961274	0.0334166146159	0.201358525921	0.392254840725	0.244378513429	0.188554028732	0.0	0.288413491568
TS6	0.982979387883	0.969784509681	0.683791380387	0.83650843223	0.56777014366	0.294971892567	0.940896314803	0.949094316052	0.982979387883	0.910836976889	0.976108682074	0.284978138663	0.273969394129	0.310587133042	0.297158026234	0.258354153654	0.288413491568	0.0
