# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-6.31152775439	2.91587912504e-09	7.37717418635e-07	0.001	0.253
All within groupA	MN vs. MN	-2.42689589276	0.0253440653285	1	0.025	1.000
All within groupA	MT vs. MT	1.69683854664	0.106048969553	1	0.118	1.000
All within groupA	TL vs. TL	0.542389274737	0.593855768595	1	0.621	1.000
All within groupA	SM vs. SM	1.46345935922	0.159689668118	1	0.139	1.000
All within groupA	TC vs. TC	-1.12381362522	0.275091155585	1	0.300	1.000
All within groupA	TA vs. TA	-0.0521680078862	0.95893940535	1	0.960	1.000
All within groupA	MN vs. MT	-9.58213065543	7.5344422147e-10	1.90621388032e-07	0.001	0.253
All within groupA	MN vs. TL	-9.55936083226	7.89850878584e-10	1.99832272282e-07	0.001	0.253
All within groupA	MN vs. SM	-9.54682194718	8.10668015325e-10	2.05099007877e-07	0.001	0.253
All within groupA	MN vs. TC	-9.06926859861	2.21661748706e-09	5.60804224226e-07	0.001	0.253
All within groupA	MN vs. TA	-8.66926522442	5.26692825713e-09	1.33253284905e-06	0.001	0.253
All within groupA	MT vs. TL	-5.01110327237	3.6215702521e-05	0.0091625727378	0.001	0.253
All within groupA	MT vs. SM	2.17010297286	0.039704369607	1	0.042	1.000
All within groupA	MT vs. TC	-0.565694200698	0.576644308235	1	0.581	1.000
All within groupA	MT vs. TA	-8.90147602628	3.17866246671e-09	8.04201604078e-07	0.001	0.253
All within groupA	TL vs. SM	-4.83908190373	5.65382822799e-05	0.0143041854168	0.001	0.253
All within groupA	TL vs. TC	-5.71847531608	5.88600353421e-06	0.00148915889415	0.001	0.253
All within groupA	TL vs. TA	-3.99546751973	0.000501244136742	0.126814766596	0.002	0.506
All within groupA	SM vs. TC	-0.857629431033	0.399244583235	1	0.377	1.000
All within groupA	SM vs. TA	-8.91559243441	3.08327074787e-09	7.80067499211e-07	0.001	0.253
All within groupA	TC vs. TA	-8.01360195566	2.27805926191e-08	5.76348993262e-06	0.001	0.253
All between groupA	MN vs. MN	0.866743288504	0.387609293597	1	0.426	1.000
All between groupA	MT vs. MT	3.90240425919	0.000149192623303	0.0377457336957	0.001	0.253
All between groupA	TL vs. TL	3.05824037916	0.00268176414009	0.678486327442	0.005	1.000
All between groupA	SM vs. SM	3.73254329802	0.000277675712818	0.070251955343	0.001	0.253
All between groupA	TC vs. TC	1.75608383606	0.0813251710054	1	0.062	1.000
All between groupA	TA vs. TA	2.61974066048	0.00979931519568	1	0.010	1.000
All between groupA	MN vs. MT	-2.34152006045	0.0205958621018	1	0.017	1.000
All between groupA	MN vs. TL	-2.3250325407	0.0214873032565	1	0.023	1.000
All between groupA	MN vs. SM	-2.31650834264	0.0219613658189	1	0.020	1.000
All between groupA	MN vs. TC	-2.02688979246	0.0445452566248	1	0.038	1.000
All between groupA	MN vs. TA	-1.71821287441	0.087937391094	1	0.091	1.000
All between groupA	MT vs. TL	0.301218141873	0.763688788109	1	0.754	1.000
All between groupA	MT vs. SM	6.17900128856	6.43697606328e-09	1.62855494401e-06	0.001	0.253
All between groupA	MT vs. TC	3.8965983882	0.000149774467275	0.0378929402205	0.001	0.253
All between groupA	MT vs. TA	-1.8586939782	0.0651405745776	1	0.068	1.000
All between groupA	TL vs. SM	0.309350439684	0.75750842462	1	0.744	1.000
All between groupA	TL vs. TC	-0.279240236289	0.780466758329	1	0.776	1.000
All between groupA	TL vs. TA	1.58543978053	0.115090902643	1	0.121	1.000
All between groupA	SM vs. TC	3.64994234469	0.0003677614621	0.0930436499112	0.002	0.506
All between groupA	SM vs. TA	-1.88474501385	0.0615078570386	1	0.046	1.000
All between groupA	TC vs. TA	-1.40581136594	0.161964453162	1	0.164	1.000
