# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-7.7403672444	1.32145007556e-12	3.34326869117e-10	0.001	0.253
All within groupA	MN vs. MN	1.34103900337	0.195720486138	1	0.207	1.000
All within groupA	MT vs. MT	-0.383064062792	0.705924361224	1	0.688	1.000
All within groupA	TL vs. TL	0.232348779654	0.818751506368	1	0.794	1.000
All within groupA	SM vs. SM	-1.1072396207	0.282011766936	1	0.304	1.000
All within groupA	TC vs. TC	-0.130142751198	0.897821464063	1	0.865	1.000
All within groupA	TA vs. TA	0.0951355567461	0.925203359227	1	0.903	1.000
All within groupA	MN vs. MT	-16.2998467895	7.90900188364e-15	2.00097747656e-12	0.001	0.253
All within groupA	MN vs. TL	-11.4079163995	2.10827342179e-11	5.33393175714e-09	0.001	0.253
All within groupA	MN vs. SM	-10.7407533323	7.43634025446e-11	1.88139408438e-08	0.001	0.253
All within groupA	MN vs. TC	-10.6668692561	8.57767473763e-11	2.17015170862e-08	0.001	0.253
All within groupA	MN vs. TA	-8.09311070085	1.90159612074e-08	4.81103818547e-06	0.001	0.253
All within groupA	MT vs. TL	-10.0110158384	3.13593498073e-10	7.93391550124e-08	0.001	0.253
All within groupA	MT vs. SM	-6.42411465568	1.00008205096e-06	0.000253020758892	0.001	0.253
All within groupA	MT vs. TC	-8.74256440744	4.48740657612e-09	1.13531386376e-06	0.001	0.253
All within groupA	MT vs. TA	-10.7577382276	7.19687047504e-11	1.82080823019e-08	0.001	0.253
All within groupA	TL vs. SM	-4.89089744089	4.94355429997e-05	0.0125071923789	0.001	0.253
All within groupA	TL vs. TC	-6.51259376059	8.03687687287e-07	0.000203332984884	0.001	0.253
All within groupA	TL vs. TA	-3.55131374168	0.00155197939631	0.392650787266	0.002	0.506
All within groupA	SM vs. TC	-2.99625765755	0.00609270526491	1	0.007	1.000
All within groupA	SM vs. TA	-3.89365998602	0.000650713939361	0.164630626658	0.002	0.506
All within groupA	TC vs. TA	-2.4105734616	0.0236083822645	1	0.022	1.000
All between groupA	MN vs. MN	4.12447703414	6.43438698806e-05	0.0162789990798	0.001	0.253
All between groupA	MT vs. MT	2.95124436705	0.00372858014119	0.94333077572	0.001	0.253
All between groupA	TL vs. TL	3.37679506196	0.000956489601285	0.241991869125	0.002	0.506
All between groupA	SM vs. SM	2.4455045854	0.0157432124794	1	0.020	1.000
All between groupA	TC vs. TC	3.14967313287	0.00201000766574	0.508531939432	0.004	1.000
All between groupA	TA vs. TA	3.28853613196	0.00128213573303	0.324380340456	0.001	0.253
All between groupA	MN vs. MT	-4.96909933983	1.90697717193e-06	0.000482465224498	0.001	0.253
All between groupA	MN vs. TL	-3.0423769403	0.00279675565009	0.707579179472	0.003	0.759
