	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
TL3	0.0	0.499094305805	0.440590374529	0.389070784275	0.542058487211	0.651751868694	0.458284808839	0.490383177923	0.624159051905	0.633606735903	0.608332892712	0.542999866723	0.663460787272	0.552466325388	0.463079938348	0.642033821188	0.626921561962	0.602805833241
T2	0.499094305805	0.0	0.513446088915	0.53545817333	0.561364579566	0.649273122166	0.4684471751	0.416998809914	0.618084721759	0.552489934278	0.512899054831	0.580096024659	0.650027392038	0.484529517743	0.481507560091	0.636794707507	0.693924336591	0.560990117869
TL2	0.440590374529	0.513446088915	0.0	0.432240292646	0.591954153996	0.62343470926	0.511180178889	0.485011499298	0.708822911287	0.717327064101	0.706725742748	0.566217384758	0.672709802655	0.547620670902	0.485173138151	0.592779469987	0.689050447875	0.529898467246
TL1	0.389070784275	0.53545817333	0.432240292646	0.0	0.541315391728	0.589628976049	0.497582717932	0.490644744447	0.727203608829	0.780438756249	0.74515650828	0.553410651175	0.616869171407	0.528274367048	0.471763447443	0.615700124863	0.583378275323	0.606421515343
TS8	0.542058487211	0.561364579566	0.591954153996	0.541315391728	0.0	0.632228157952	0.483403309834	0.479086897702	0.603170596899	0.637160596723	0.657497034224	0.468503082491	0.650381578229	0.41742219225	0.394669187384	0.541488687347	0.497130885706	0.450576265758
MT209	0.651751868694	0.649273122166	0.62343470926	0.589628976049	0.632228157952	0.0	0.62125511594	0.629735931714	0.78628231928	0.761676069137	0.756037007726	0.601005368291	0.356605403658	0.602302966541	0.572888141479	0.461289353918	0.624198598108	0.665624865369
T9	0.458284808839	0.4684471751	0.511180178889	0.497582717932	0.483403309834	0.62125511594	0.0	0.390153913311	0.600742939652	0.665789873833	0.635429488222	0.497786009263	0.643782887835	0.464585522201	0.412705525841	0.639872222339	0.63016894502	0.570332980555
T1	0.490383177923	0.416998809914	0.485011499298	0.490644744447	0.479086897702	0.629735931714	0.390153913311	0.0	0.657869524442	0.622338028949	0.596025850514	0.512973249076	0.627471832459	0.332659934595	0.435123086062	0.61214425101	0.676257519713	0.468828045509
MN13	0.624159051905	0.618084721759	0.708822911287	0.727203608829	0.603170596899	0.78628231928	0.600742939652	0.657869524442	0.0	0.437879175035	0.400525467629	0.615336614145	0.792477523185	0.682858852632	0.621312838015	0.717512044138	0.72299761874	0.667217082751
MN12	0.633606735903	0.552489934278	0.717327064101	0.780438756249	0.637160596723	0.761676069137	0.665789873833	0.622338028949	0.437879175035	0.0	0.301797689688	0.694195891525	0.752753626947	0.646807140794	0.665415123497	0.725296555412	0.781121786326	0.696703776943
MN15	0.608332892712	0.512899054831	0.706725742748	0.74515650828	0.657497034224	0.756037007726	0.635429488222	0.596025850514	0.400525467629	0.301797689688	0.0	0.67365979341	0.761813161783	0.602275868347	0.629275848716	0.722877243144	0.788167417817	0.622947145518
SM2	0.542999866723	0.580096024659	0.566217384758	0.553410651175	0.468503082491	0.601005368291	0.497786009263	0.512973249076	0.615336614145	0.694195891525	0.67365979341	0.0	0.606733725388	0.497139467454	0.404576380212	0.519612149328	0.442498043238	0.516917670026
MT213	0.663460787272	0.650027392038	0.672709802655	0.616869171407	0.650381578229	0.356605403658	0.643782887835	0.627471832459	0.792477523185	0.752753626947	0.761813161783	0.606733725388	0.0	0.620953172742	0.618073822297	0.509659632605	0.621255876508	0.644569145257
TS4	0.552466325388	0.484529517743	0.547620670902	0.528274367048	0.41742219225	0.602302966541	0.464585522201	0.332659934595	0.682858852632	0.646807140794	0.602275868347	0.497139467454	0.620953172742	0.0	0.427619956092	0.566691501048	0.645443882805	0.430348713858
SM4	0.463079938348	0.481507560091	0.485173138151	0.471763447443	0.394669187384	0.572888141479	0.412705525841	0.435123086062	0.621312838015	0.665415123497	0.629275848716	0.404576380212	0.618073822297	0.427619956092	0.0	0.594041321843	0.561339921334	0.502440533234
MT210	0.642033821188	0.636794707507	0.592779469987	0.615700124863	0.541488687347	0.461289353918	0.639872222339	0.61214425101	0.717512044138	0.725296555412	0.722877243144	0.519612149328	0.509659632605	0.566691501048	0.594041321843	0.0	0.446689122658	0.594697138829
SM5	0.626921561962	0.693924336591	0.689050447875	0.583378275323	0.497130885706	0.624198598108	0.63016894502	0.676257519713	0.72299761874	0.781121786326	0.788167417817	0.442498043238	0.621255876508	0.645443882805	0.561339921334	0.446689122658	0.0	0.642404500289
TS6	0.602805833241	0.560990117869	0.529898467246	0.606421515343	0.450576265758	0.665624865369	0.570332980555	0.468828045509	0.667217082751	0.696703776943	0.622947145518	0.516917670026	0.644569145257	0.430348713858	0.502440533234	0.594697138829	0.642404500289	0.0
