# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# The nonparametric p-values were calculated using 999 Monte Carlo permutations.
# The nonparametric p-values contain the correct number of significant digits.
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within groupA	All between groupA	-6.68566951403	4.18044534116e-10	1.05765267131e-07	0.001	0.253
All within groupA	MN vs. MN	-2.29472841759	0.0333103482852	1	0.032	1.000
All within groupA	MT vs. MT	1.47861666365	0.155630628107	1	0.182	1.000
All within groupA	TL vs. TL	-0.629180713643	0.53672308907	1	0.543	1.000
All within groupA	SM vs. SM	1.62010088939	0.121689467353	1	0.128	1.000
All within groupA	TC vs. TC	-0.895647719184	0.381648188719	1	0.402	1.000
All within groupA	TA vs. TA	0.755664882458	0.459116714223	1	0.428	1.000
All within groupA	MN vs. MT	-15.5124948303	2.44944462752e-14	6.19709490763e-12	0.001	0.253
All within groupA	MN vs. TL	-13.1256220357	1.02660690737e-12	2.59731547566e-10	0.001	0.253
All within groupA	MN vs. SM	-15.1906094571	3.9417995293e-14	9.97275280913e-12	0.001	0.253
All within groupA	MN vs. TC	-10.3471027585	1.6033190526e-10	4.05639720308e-08	0.001	0.253
All within groupA	MN vs. TA	-8.29045459251	1.21895061239e-08	3.08394504935e-06	0.001	0.253
All within groupA	MT vs. TL	-9.08542476041	2.14141749921e-09	5.41778627301e-07	0.001	0.253
All within groupA	MT vs. SM	2.31788494028	0.0289286357421	1	0.035	1.000
All within groupA	MT vs. TC	-1.23770353817	0.227324707579	1	0.256	1.000
All within groupA	MT vs. TA	-10.1128677922	2.55525532407e-10	6.4647959699e-08	0.001	0.253
All within groupA	TL vs. SM	-10.3982894551	1.4493557847e-10	3.66687013528e-08	0.001	0.253
All within groupA	TL vs. TC	-9.27656855928	1.42719730844e-09	3.61080919035e-07	0.001	0.253
All within groupA	TL vs. TA	-6.80949208182	3.88445157845e-07	9.82766249347e-05	0.001	0.253
