	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
TL3	0.0	0.330686538882	0.249486172705	0.151504780606	0.516758297939	0.571150121799	0.392068832761	0.443427798251	0.521578030137	0.518261015771	0.543046085259	0.666186707527	0.587331354622	0.600202373517	0.609715345097	0.666927730325	0.682080762024	0.634456296065
T2	0.330686538882	0.0	0.27900258198	0.306610518426	0.300972355559	0.434835831512	0.123816919113	0.147220325578	0.507399589319	0.329242175203	0.392324541693	0.525397699875	0.449816630231	0.361906654435	0.454217867739	0.527714501874	0.542232461743	0.463323273735
TL2	0.249486172705	0.27900258198	0.0	0.150564516708	0.379989489382	0.339765251405	0.328638348688	0.37812383198	0.566758854622	0.485718795284	0.534663158963	0.432094054497	0.356451688788	0.366293744535	0.376240046846	0.433047054185	0.447608824172	0.399736694254
TL1	0.151504780606	0.306610518426	0.150564516708	0.0	0.429239220019	0.46088369847	0.364378338538	0.415544093535	0.548858841349	0.496210221736	0.522203014522	0.558597011243	0.478782351655	0.492641624766	0.504084657245	0.559388357277	0.574107711587	0.527398971736
TS8	0.516758297939	0.300972355559	0.379989489382	0.429239220019	0.0	0.323613849157	0.28453407792	0.289508166771	0.496790484853	0.362865244379	0.433444042786	0.293513659432	0.32046013351	0.239124291068	0.271305171768	0.306238593848	0.309521197689	0.223746787945
MT209	0.571150121799	0.434835831512	0.339765251405	0.46088369847	0.323613849157	0.0	0.403883031699	0.413316052467	0.64080253045	0.548540053873	0.611292526546	0.115061001718	0.0379443808557	0.149503297939	0.08739116802	0.108447349313	0.129342464085	0.120943496252
T9	0.392068832761	0.123816919113	0.328638348688	0.364378338538	0.28453407792	0.403883031699	0.0	0.0736168152717	0.530535292005	0.352170627733	0.42243517411	0.493466917552	0.419519380075	0.327905295909	0.422467941131	0.496649030294	0.510287834947	0.431610013273
T1	0.443427798251	0.147220325578	0.37812383198	0.415544093535	0.289508166771	0.413316052467	0.0736168152717	0.0	0.544226256246	0.361876187539	0.428518861649	0.50051922158	0.428937380543	0.333608304185	0.429898767958	0.504259040443	0.517389561212	0.437958532167
MN13	0.521578030137	0.507399589319	0.566758854622	0.548858841349	0.496790484853	0.64080253045	0.530535292005	0.544226256246	0.0	0.223070669894	0.320753484541	0.660691756715	0.647750699563	0.614532925515	0.625050895534	0.668932398501	0.670907244691	0.619140904903
MN12	0.518261015771	0.329242175203	0.485718795284	0.496210221736	0.362865244379	0.548540053873	0.352170627733	0.361876187539	0.223070669894	0.0	0.256449070112	0.565806149282	0.555580209244	0.440953520456	0.524529605715	0.573951057152	0.576985373985	0.509216031387
MN15	0.543046085259	0.392324541693	0.534663158963	0.522203014522	0.433444042786	0.611292526546	0.42243517411	0.428518861649	0.320753484541	0.256449070112	0.0	0.628560200656	0.618065472361	0.510773165209	0.585295804185	0.637357752186	0.639479370706	0.579730490319
SM2	0.666186707527	0.525397699875	0.432094054497	0.558597011243	0.293513659432	0.115061001718	0.493466917552	0.50051922158	0.660691756715	0.565806149282	0.628560200656	0.0	0.0973249031855	0.173333120706	0.0907387359463	0.027074186446	0.0174642075265	0.0858994745472
MT213	0.587331354622	0.449816630231	0.356451688788	0.478782351655	0.32046013351	0.0379443808557	0.419519380075	0.428937380543	0.647750699563	0.555580209244	0.618065472361	0.0973249031855	0.0	0.149843818707	0.0729585095253	0.0911044628357	0.110158942067	0.115302279044
TS4	0.600202373517	0.361906654435	0.366293744535	0.492641624766	0.239124291068	0.149503297939	0.327905295909	0.333608304185	0.614532925515	0.440953520456	0.510773165209	0.173333120706	0.149843818707	0.0	0.124973860087	0.177690773735	0.190287442224	0.129165074953
SM4	0.609715345097	0.454217867739	0.376240046846	0.504084657245	0.271305171768	0.08739116802	0.422467941131	0.429898767958	0.625050895534	0.524529605715	0.585295804185	0.0907387359463	0.0729585095253	0.124973860087	0.0	0.0878719089631	0.106490729232	0.0890812742036
MT210	0.666927730325	0.527714501874	0.433047054185	0.559388357277	0.306238593848	0.108447349313	0.496649030294	0.504259040443	0.668932398501	0.573951057152	0.637357752186	0.027074186446	0.0911044628357	0.177690773735	0.0878719089631	0.0	0.0384799336352	0.0997225320112
SM5	0.682080762024	0.542232461743	0.447608824172	0.574107711587	0.309521197689	0.129342464085	0.510287834947	0.517389561212	0.670907244691	0.576985373985	0.639479370706	0.0174642075265	0.110158942067	0.190287442224	0.106490729232	0.0384799336352	0.0	0.094143018426
TS6	0.634456296065	0.463323273735	0.399736694254	0.527398971736	0.223746787945	0.120943496252	0.431610013273	0.437958532167	0.619140904903	0.509216031387	0.579730490319	0.0858994745472	0.115302279044	0.129165074953	0.0890812742036	0.0997225320112	0.094143018426	0.0
