# Constructed from biom file
#OTU ID	MN12	MN13	MN15	MT209	MT210	MT213	SM2	SM4	SM5	T1	T2	T9	TL1	TL2	TL3	TS4	TS6	TS8
Unassigned;Other;Other;Other;Other;Other	0.0052780395853	0.0135058017881	0.0317651184929	0.00758542812255	0.000251414204903	0.01045832596	0.00110545035086	0.00601766890017	0.000257624062087	0.000297825871141	0.00153877718506	0.00205436156764	0.00985382711437	0.00990147541787	0.0175008413866	0.00481625969272	0.00842539895101	0.00109306683323
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__	0.0	0.0	0.0	0.0	0.0	8.84799150593e-05	0.0	0.0	9.66090232828e-05	0.000670108210067	0.00148748461223	9.4816687737e-05	0.000934012048755	0.0	0.0033655464205	0.0	0.000223189376186	0.000468457214241
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	0.0	0.0	0.0	0.0	0.000100565681961	0.0	0.0	4.26785028381e-05	3.22030077609e-05	0.000322644693736	0.0	0.001201011378	0.00168122168776	4.9017205039e-05	0.00033655464205	0.000288975581563	5.57973440464e-05	7.80762023735e-05
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__OCS155;g__	0.0	0.0	0.000100205421113	0.0	0.0	0.0	9.61261174661e-05	0.000128035508514	3.22030077609e-05	4.96376451901e-05	0.00205170291342	0.000252844500632	0.00214822771214	0.000833292485662	9.61584691572e-05	0.00101141453547	0.000223189376186	0.0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];g__Fimbriimonas	4.71253534402e-05	6.34075201319e-05	5.01027105566e-05	0.0	5.02828409805e-05	0.0	2.40315293665e-05	0.00183517562204	0.0	0.00322644693736	0.00584735330324	0.00869152970923	0.0105076355485	0.00583304739964	0.00855810375499	0.000481625969272	0.000167392032139	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.00221489161169	0.00114133536237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00341362565508	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00205170291342	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__	0.0	0.000126815040264	5.01027105566e-05	0.0	0.0	0.0	7.20945880996e-05	0.0	0.0	0.0	0.00682191218712	0.0	0.00649138373885	4.9017205039e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Flammeovirgaceae;g__Flammeovirga	0.000424128180961	0.0	5.01027105566e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0050382209868	5.12925728355e-05	6.3211125158e-05	0.0	0.0	0.0	0.00101141453547	0.0	0.000468457214241
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__[Amoebophilaceae];g__Candidatus Amoebophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00346170488966	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__[Amoebophilaceae];g__SC3-56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000373604819502	0.00166658497132	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__;g__	0.0	0.000253630080528	0.00210431384338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00137248174109	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000769388592532	0.0	0.000607107831691	0.000196068820156	0.00480792345786	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Fluviicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000967934081207	0.0	6.3211125158e-05	0.00294213795358	9.80344100779e-05	0.00466368575412	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;Other	0.00409990574929	0.0	0.00460944937121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000359048009848	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00443856429516	0.0	0.000595651742281	0.000102585145671	0.0	0.000513706626815	0.00191167099652	0.000384633876629	4.81625969272e-05	0.000167392032139	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Tenacibaculum	0.000329877474081	0.0	0.0	0.0	0.0	0.0	0.0	0.000810891553924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.80762023735e-05
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__NS9;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00115231957663	0.0	0.0	0.0	0.0	0.0	0.00117641292094	0.00509639886533	0.0	5.57973440464e-05	0.000234228607121
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__Rhodothermaceae;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00168122168776	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales];f__[Balneolaceae];g__Balneola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9017205039e-05	0.00451944805039	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__	9.42507068803e-05	0.0	5.01027105566e-05	0.00991751767478	0.000301697045883	0.00725535303486	9.61261174661e-05	0.000213392514191	0.0	0.0145934676859	0.00487279441937	0.0102718078382	0.00756549759492	0.0210283809617	0.0239434588201	0.00101141453547	5.57973440464e-05	0.000234228607121
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Sediminibacterium	0.000565504241282	0.000634075201319	0.000851746079463	0.0234436370778	0.00462602137021	0.0317465935233	0.0050946842257	0.0236012120695	0.000805075194023	0.071279658493	0.122999589659	0.0982932996207	0.238966982674	0.148718200088	0.211789028319	0.0194576891586	0.00345943533088	0.00476264834478
