# Constructed from biom file
#OTU ID	MN	MT	SM	TA	TC	TL
Unassigned;Other;Other;Other	0.016839332748	0.00664131775421	0.00202922077922	0.0011703198145	0.0051463305692	0.0124095635092
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513	0.0	3.64907568913e-05	3.12187812188e-05	0.000645316533228	0.000194201153555	0.00143740117867
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.0	2.9192605513e-05	2.08125208125e-05	0.00055781598635	0.000155360922844	0.000702729465127
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	3.51185250219e-05	0.0	8.32500832501e-05	0.00054687841799	0.000485502883887	0.00103812307348
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	5.26777875329e-05	1.45963027565e-05	0.000457875457875	0.00567659797874	0.000252461499621	0.00833692683628
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.00114135206321	0.0	0.0	0.0	0.0	0.00113394981873
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	0.000228270412643	0.0	3.12187812188e-05	0.00414533840837	0.000524343114598	0.00405666554869
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	0.00407374890255	0.0	0.00156093906094	0.000973443584022	0.000174781038199	0.00790570648268
k__Bacteria;p__Bacteroidetes;c__[Rhodothermi];o__[Rhodothermales]	0.0	0.0	0.0	0.0	0.0	0.00209221727117
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales]	0.000737489025461	0.0274337510309	0.0083146020646	0.102681891762	0.0107199036762	0.21792598981
k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__S0208	0.0	0.0	0.0	0.000404690029313	0.0	0.0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales	3.51185250219e-05	0.00125528203706	0.000707625707626	0.00527190794942	0.000291301730332	0.0211777106991
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12	0.000140474100088	0.00360528678086	0.00125915750916	0.0162860392877	0.00337910007185	0.042882468497
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__	0.0	0.0	0.0	0.000721879511747	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__CAB-I	1.7559262511e-05	2.18944541348e-05	4.1625041625e-05	0.000218751367196	3.8840230711e-05	3.19422484149e-05
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cercozoa	0.0	0.000423292779939	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta	0.0	7.29815137826e-06	0.0	0.00057969112307	0.000932165537063	0.00673981441554
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Haptophyceae	0.0	0.0	0.000374625374625	0.000207813798836	0.0	0.00544615335473
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles	0.0	0.000189751935835	6.24375624376e-05	0.00461565384784	0.000427242537821	0.00132560330922
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	0.0	0.000204348238591	0.0	0.0	0.0	0.000543018223053
k__Bacteria;p__Cyanobacteria;c__ML635J-21;o__	0.0	0.0	0.000333000333	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	0.13601404741	0.0	4.1625041625e-05	0.0	0.0	0.000111797869452
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	0.000421422300263	0.0	0.0	0.0	0.0	0.000239566863111
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2;o__	0.0	0.0	0.000312187812188	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Lentisphaerales	0.198700614574	2.9192605513e-05	6.24375624376e-05	0.00103906899418	0.0	0.00108603644611
