	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
TL3	0.0	0.330465953633	0.0791432531355	0.103431707133	0.701029437756	0.114850089661	0.294757208967	0.426317901585	0.632342113752	0.615745471631	0.44103739648	0.123402969939	0.147212759756	0.233139291952	0.127532918456	0.162036861146	0.226598162576	0.376764161088
T2	0.330465953633	0.0	0.443429498865	0.524122342783	0.360378451861	0.611079692644	0.108269911808	0.113089216679	0.579751690597	0.393664335698	0.581933730917	0.554405599251	0.530120466967	0.272307790041	0.388546942944	0.583697298325	0.660921474565	0.294601453929
TL2	0.0791432531355	0.443429498865	0.0	0.061490378078	0.390828547891	0.0859019019772	0.383687112434	0.536322480762	0.640552982666	0.615426030476	0.409600746051	0.105772746091	0.130320738053	0.183810490992	0.0998520770599	0.114055340874	0.172328802698	0.253662906617
TL1	0.103431707133	0.524122342783	0.061490378078	0.0	0.765192005802	0.109067935336	0.467142665487	0.601241832076	0.977944335491	0.934694719254	0.926297075973	0.121305280366	0.158946147169	0.216881682363	0.137036450924	0.154146047273	0.22582137076	0.374435867129
TS8	0.701029437756	0.360378451861	0.390828547891	0.765192005802	0.0	0.790998677537	0.342894539713	0.355690307924	0.607792188457	0.396830051336	0.609061006946	0.1306122672	0.388979731693	0.0450962152105	0.110199576055	0.763889067528	0.799107649139	0.052170710708
MT209	0.114850089661	0.611079692644	0.0859019019772	0.109067935336	0.790998677537	0.0	0.663710727801	0.715133948057	0.912321517233	0.790147347652	0.826560079401	0.0496057032604	0.0404346982287	0.300688401332	0.128847488454	0.0252556634722	0.0832853341023	0.304242687694
T9	0.294757208967	0.108269911808	0.383687112434	0.467142665487	0.342894539713	0.663710727801	0.0	0.0622189907859	0.934195686516	0.722624267705	0.733937947945	0.481868259575	0.479167289675	0.179569120305	0.323890626842	0.498627787621	0.71527765957	0.231527147691
T1	0.426317901585	0.113089216679	0.536322480762	0.601241832076	0.355690307924	0.715133948057	0.0622189907859	0.0	0.73473287631	0.411090630118	0.224302149597	0.625970266716	0.60509085519	0.314609114037	0.330297946331	0.641611134587	0.764882105673	0.369646568589
MN13	0.632342113752	0.579751690597	0.640552982666	0.977944335491	0.607792188457	0.912321517233	0.934195686516	0.73473287631	0.0	0.250393664219	0.295534551011	0.583800561402	0.905866585521	0.955267072507	0.960982525424	0.904935627743	0.996720867937	0.884221968317
MN12	0.615745471631	0.393664335698	0.615426030476	0.934694719254	0.396830051336	0.790147347652	0.722624267705	0.411090630118	0.250393664219	0.0	0.157830003388	0.778094439057	0.768608227161	0.798794831488	0.832419657498	0.779415238398	0.99790448012	0.627526038169
MN15	0.44103739648	0.581933730917	0.409600746051	0.926297075973	0.609061006946	0.826560079401	0.733937947945	0.224302149597	0.295534551011	0.157830003388	0.0	0.357708336021	0.788558515416	0.778108667389	0.798786144582	0.794881078011	0.99476905778	0.682602556346
SM2	0.123402969939	0.554405599251	0.105772746091	0.121305280366	0.1306122672	0.0496057032604	0.481868259575	0.625970266716	0.583800561402	0.778094439057	0.357708336021	0.0	0.0485169378562	0.123958117678	0.0547581349144	0.0224141478097	0.0155776072449	0.0407617899973
MT213	0.147212759756	0.530120466967	0.130320738053	0.158946147169	0.388979731693	0.0404346982287	0.479167289675	0.60509085519	0.905866585521	0.768608227161	0.788558515416	0.0485169378562	0.0	0.175122555753	0.102069638534	0.0410422230568	0.070824765058	0.182257022421
TS4	0.233139291952	0.272307790041	0.183810490992	0.216881682363	0.0450962152105	0.300688401332	0.179569120305	0.314609114037	0.955267072507	0.798794831488	0.778108667389	0.123958117678	0.175122555753	0.0	0.0816291687857	0.189163906648	0.317565881127	0.044969843397
SM4	0.127532918456	0.388546942944	0.0998520770599	0.137036450924	0.110199576055	0.128847488454	0.323890626842	0.330297946331	0.960982525424	0.832419657498	0.798786144582	0.0547581349144	0.102069638534	0.0816291687857	0.0	0.08841138567	0.113205860209	0.0756658235747
MT210	0.162036861146	0.583697298325	0.114055340874	0.154146047273	0.763889067528	0.0252556634722	0.498627787621	0.641611134587	0.904935627743	0.779415238398	0.794881078011	0.0224141478097	0.0410422230568	0.189163906648	0.08841138567	0.0	0.0188888260443	0.259437845466
SM5	0.226598162576	0.660921474565	0.172328802698	0.22582137076	0.799107649139	0.0832853341023	0.71527765957	0.764882105673	0.996720867937	0.99790448012	0.99476905778	0.0155776072449	0.070824765058	0.317565881127	0.113205860209	0.0188888260443	0.0	0.26139214015
TS6	0.376764161088	0.294601453929	0.253662906617	0.374435867129	0.052170710708	0.304242687694	0.231527147691	0.369646568589	0.884221968317	0.627526038169	0.682602556346	0.0407617899973	0.182257022421	0.044969843397	0.0756658235747	0.259437845466	0.26139214015	0.0
