	observed_species	chao1	simpson	shannon	goods_coverage	observed	singles	doubles
TL3	130.0	144.25	0.870066886093	4.26617354527	0.998516552155	130.0	19.0	11.0
T2	176.0	197.857142857	0.95269965904	5.35908204106	0.998594628357	176.0	18.0	6.0
TL2	135.0	189.0	0.919329385405	4.49759272223	0.997813866334	135.0	28.0	6.0
TL1	113.0	115.333333333	0.905633961207	4.51615579981	0.999375390381	113.0	8.0	11.0
TS8	137.0	164.789473684	0.814398322157	3.68262842185	0.997423485322	137.0	33.0	18.0
MT209	80.0	91.0	0.774976009002	3.06429829993	0.999063085572	80.0	12.0	5.0
T9	176.0	183.555555556	0.928845952775	4.93015678853	0.99867270456	176.0	17.0	17.0
T1	167.0	174.5	0.940667682226	5.10600796772	0.998828856964	167.0	15.0	13.0
MN13	150.0	210.0	0.887200321005	4.04408629842	0.996876951905	150.0	40.0	12.0
MN12	174.0	195.428571429	0.873559759847	4.58982421667	0.998048094941	174.0	25.0	13.0
MN15	147.0	182.428571429	0.790533179996	3.78517984821	0.997501561524	147.0	32.0	13.0
SM2	65.0	90.0909090909	0.743076259919	2.25146273999	0.998126171143	65.0	24.0	10.0
MT213	86.0	108.666666667	0.76968804095	2.95264889621	0.99867270456	86.0	17.0	5.0
TS4	141.0	147.551724138	0.849601862573	3.77935321084	0.998438475953	141.0	20.0	28.0
SM4	122.0	161.545454545	0.802099101378	3.1344059199	0.997657713929	122.0	30.0	10.0
MT210	52.0	61.4285714286	0.692523589157	2.13473690315	0.999063085572	52.0	12.0	6.0
SM5	37.0	52.0	0.728492042274	2.02720332885	0.998828856964	37.0	15.0	6.0
TS6	91.0	124.833333333	0.792244638637	2.90025147659	0.997735790131	91.0	29.0	11.0
