	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
TL3	0.0	0.434576342121	0.290911317031	0.0870958880313	0.968427835923	0.907829532729	0.632033233622	0.609334211371	0.998464755629	0.997173484616	0.995924802884	0.973458775567	0.926660890112	0.898136256276	0.933003338857	0.983449522099	0.993917424979	0.985724869242
T2	0.434576342121	0.0	0.527568504097	0.400860047672	0.960378188146	0.94527491612	0.245626532215	0.230470474842	0.978006735257	0.921060093856	0.936113561835	0.980941281316	0.949023198326	0.862570679915	0.941594725378	0.98444503735	0.990260515028	0.980547926465
TL2	0.290911317031	0.527568504097	0.0	0.136951682992	0.849169615382	0.425164658828	0.675933355325	0.667373398131	0.996417837048	0.995934066788	0.995492352269	0.442484356441	0.432741337299	0.409614695353	0.365832100353	0.499515795623	0.461017540244	0.462459103705
TL1	0.0870958880313	0.400860047672	0.136951682992	0.0	0.922287601444	0.715770499742	0.607448756515	0.605107929402	0.998246022478	0.99775143023	0.996614958162	0.754691579773	0.728385458099	0.706409489906	0.70447757832	0.791540740401	0.773226113071	0.78132106832
TS8	0.968427835923	0.960378188146	0.849169615382	0.922287601444	0.0	0.76039247736	0.922205076808	0.946577121985	0.995433902451	0.855702901377	0.986224712948	0.763512538264	0.762271734672	0.653152873987	0.743172152531	0.769933208491	0.779172935796	0.486609095353
MT209	0.907829532729	0.94527491612	0.425164658828	0.715770499742	0.76039247736	0.0	0.922135509038	0.935273317202	0.997843201005	0.999317745476	0.998732195722	0.0783593944174	0.00390200087491	0.0811005449414	0.0811215483909	0.0221700548971	0.0848203286891	0.0634575590501
T9	0.632033233622	0.245626532215	0.675933355325	0.607448756515	0.922205076808	0.922135509038	0.0	0.286735472902	0.976341586333	0.880425717911	0.901261169579	0.947634978832	0.923119872123	0.703787516889	0.888842175838	0.952269613489	0.95453368254	0.941011577304
T1	0.609334211371	0.230470474842	0.667373398131	0.605107929402	0.946577121985	0.935273317202	0.286735472902	0.0	0.979354026243	0.904761911012	0.904538230287	0.957255932525	0.941681572945	0.806769406163	0.91780199474	0.964934324128	0.964961982323	0.956375948142
MN13	0.998464755629	0.978006735257	0.996417837048	0.998246022478	0.995433902451	0.997843201005	0.976341586333	0.979354026243	0.0	0.597139841737	0.498779483981	0.997901971581	0.997796882768	0.990475782404	0.995820033866	0.997894527183	0.998114863003	0.997080520893
MN12	0.997173484616	0.921060093856	0.995934066788	0.99775143023	0.855702901377	0.999317745476	0.880425717911	0.904761911012	0.597139841737	0.0	0.652543667202	0.99760918033	0.99931811851	0.944817396712	0.98680217593	0.999479895127	0.999690508889	0.956762510499
MN15	0.995924802884	0.936113561835	0.995492352269	0.996614958162	0.986224712948	0.998732195722	0.901261169579	0.904538230287	0.498779483981	0.652543667202	0.0	0.998778731531	0.998735796528	0.960294405268	0.989891806826	0.998954386413	0.999123057852	0.996090829009
SM2	0.973458775567	0.980941281316	0.442484356441	0.754691579773	0.763512538264	0.0783593944174	0.947634978832	0.957255932525	0.997901971581	0.99760918033	0.998778731531	0.0	0.0770908864889	0.147850474166	0.0673267280553	0.0762957447587	0.000906000294902	0.119451956244
MT213	0.926660890112	0.949023198326	0.432741337299	0.728385458099	0.762271734672	0.00390200087491	0.923119872123	0.941681572945	0.997796882768	0.99931811851	0.998735796528	0.0770908864889	0.0	0.0914688321251	0.0663601064372	0.0155637485772	0.0815724254012	0.0598192992876
TS4	0.898136256276	0.862570679915	0.409614695353	0.706409489906	0.653152873987	0.0811005449414	0.703787516889	0.806769406163	0.990475782404	0.944817396712	0.960294405268	0.147850474166	0.0914688321251	0.0	0.135290213283	0.134379330868	0.161199475324	0.103230354505
SM4	0.933003338857	0.941594725378	0.365832100353	0.70447757832	0.743172152531	0.0811215483909	0.888842175838	0.91780199474	0.995820033866	0.98680217593	0.989891806826	0.0673267280553	0.0663601064372	0.135290213283	0.0	0.0709270101357	0.0687085645504	0.0766560775728
MT210	0.983449522099	0.98444503735	0.499515795623	0.791540740401	0.769933208491	0.0221700548971	0.952269613489	0.964934324128	0.997894527183	0.999479895127	0.998954386413	0.0762957447587	0.0155637485772	0.134379330868	0.0709270101357	0.0	0.0752500973579	0.0672681289173
SM5	0.993917424979	0.990260515028	0.461017540244	0.773226113071	0.779172935796	0.0848203286891	0.95453368254	0.964961982323	0.998114863003	0.999690508889	0.999123057852	0.000906000294902	0.0815724254012	0.161199475324	0.0687085645504	0.0752500973579	0.0	0.126959665552
TS6	0.985724869242	0.980547926465	0.462459103705	0.78132106832	0.486609095353	0.0634575590501	0.941011577304	0.956375948142	0.997080520893	0.956762510499	0.996090829009	0.119451956244	0.0598192992876	0.103230354505	0.0766560775728	0.0672681289173	0.126959665552	0.0
