Level_1	Level_2	MN12	MN15	Parent seq. 1	Parent seq. 2	Rel. freq. 1 (%)	Rel. freq. 2 (%)	p-values	p-values (corrected)	Effect size	95.0% lower CI	95.0% upper CI	Power (alpha = 0.05)	Equal sample size (alpha = 0.05; power = 0.80)	
Cellular Processes	Cell Motility	132313	103007	2752079	7508043	4.80774716133	1.37195538172	0.0	0.0	3.43579177961	3.40923455738	3.46245327713	N/A	N/A	
Cellular Processes	Transport and Catabolism	9410	74638	2752079	7508043	0.341923324149	0.994107252716	0.0	0.0	-0.652183928567	-0.662049614412	-0.642257585753	N/A	N/A	
Cellular Processes and Signaling	Cellular Processes and Signaling_Unclassified	119001	308352	2752079	7508043	4.32404011658	4.10695570071	2.99788896656e-53	2.99788896656e-53	0.217084415874	0.189217243026	0.245037492058	N/A	N/A	
Environmental Information Processing	Membrane Transport	304359	600711	2752079	7508043	11.0592392152	8.00089983502	0.0	0.0	3.05833938014	3.01654952847	3.10020559353	N/A	N/A	
Environmental Information Processing	Signal Transduction	76970	113793	2752079	7508043	2.79679471411	1.51561465484	0.0	0.0	1.28118005926	1.25987945949	1.30258058277	N/A	N/A	
Environmental Information Processing	Signaling Molecules and Interaction	5158	10727	2752079	7508043	0.187421945373	0.14287344918	5.84646302872e-56	5.84646302872e-56	0.0445484961932	0.0388170233383	0.0503790549461	N/A	N/A	
Genetic Information Processing	Transcription	69488	292428	2752079	7508043	2.52492751843	3.89486314876	0.0	0.0	-1.36993563033	-1.39302812825	-1.34676515997	N/A	N/A	
Genetic Information Processing	Genetic Information Processing_Unclassified	73407	235377	2752079	7508043	2.66732895386	3.13499802811	0.0	0.0	-0.467669074258	-0.490381387559	-0.444872484516	N/A	N/A	
Genetic Information Processing	Translation	134156	406931	2752079	7508043	4.87471471567	5.41993432909	1.08124158211e-266	1.08124158211e-266	-0.545219613417	-0.575337431984	-0.515020021018	N/A	N/A	
Genetic Information Processing	Folding, Sorting and Degradation	70513	187896	2752079	7508043	2.56217208881	2.50259621582	7.22532671657e-08	7.22532671657e-08	0.0595758729918	0.0378642450241	0.0813761712092	N/A	N/A	
Genetic Information Processing	Replication and Repair	199400	549219	2752079	7508043	7.24543154466	7.31507531323	0.000143907457428	0.000143907457428	-0.0696437685728	-0.10545058422	-0.0337576668115	N/A	N/A	
Human Diseases	Neurodegenerative Diseases	9951	8182	2752079	7508043	0.361581190075	0.10897646697	0.0	0.0	0.252604723105	0.245188075505	0.260136731377	N/A	N/A	
Human Diseases	Infectious Diseases	16573	25863	2752079	7508043	0.602199282797	0.34447058974	0.0	0.0	0.257728693057	0.247724784703	0.267836777761	N/A	N/A	
Human Diseases	Cancers	3830	7302	2752079	7508043	0.13916751663	0.0972557029841	2.45679949587e-69	2.45679949587e-69	0.041911813646	0.0370249539299	0.0468997951164	N/A	N/A	
Human Diseases	Cardiovascular Diseases	192	119	2752079	7508043	0.00697654391462	0.00158496694811	6.40128727715e-38	6.40128727715e-38	0.00539157696651	0.00442077876413	0.00648213648375	N/A	N/A	
Metabolism	Biosynthesis of Other Secondary Metabolites	17332	86926	2752079	7508043	0.629778432959	1.15777173892	0.0	0.0	-0.527993305961	-0.540035283551	-0.515876345601	N/A	N/A	
Metabolism	Glycan Biosynthesis and Metabolism	59767	312852	2752079	7508043	2.17170364659	4.16689142564	0.0	0.0	-1.99518777905	-2.01753158697	-1.97277118593	N/A	N/A	
Metabolism	Energy Metabolism	158983	278776	2752079	7508043	5.77683271447	3.71303147838	0.0	0.0	2.06380123609	2.03314282465	2.09454961649	N/A	N/A	
Metabolism	Metabolism_Unclassified	70809	244472	2752079	7508043	2.57292759401	3.25613478772	0.0	0.0	-0.683207193709	-0.705772939417	-0.660558757409	N/A	N/A	
Metabolism	Lipid Metabolism	94132	431403	2752079	7508043	3.42039599881	5.7458781203	0.0	0.0	-2.3254821215	-2.35261449557	-2.29827472048	N/A	N/A	
Metabolism	Xenobiotics Biodegradation and Metabolism	65305	147197	2752079	7508043	2.37293333513	1.96052420051	0.0	0.0	0.412409134612	0.391919808801	0.432991149597	N/A	N/A	
Metabolism	Carbohydrate Metabolism	241168	796037	2752079	7508043	8.76312053542	10.6024565922	0.0	0.0	-1.8393360568	-1.87931109312	-1.79928709366	N/A	N/A	
Metabolism	Nucleotide Metabolism	99316	248105	2752079	7508043	3.6087626845	3.30452289631	2.45492892509e-124	2.45492892509e-124	0.304239788189	0.278807519865	0.329760091187	N/A	N/A	
Metabolism	Metabolism of Cofactors and Vitamins	121084	349433	2752079	7508043	4.39972835082	4.6541155931	2.89042490704e-67	2.89042490704e-67	-0.254387242283	-0.282878945812	-0.225811939588	N/A	N/A	
Metabolism	Metabolism of Terpenoids and Polyketides	44875	131555	2752079	7508043	1.63058545921	1.75218762066	1.28642545395e-40	1.28642545395e-40	-0.121602161451	-0.139221018711	-0.103895145283	N/A	N/A	
Metabolism	Metabolism of Other Amino Acids	45927	117490	2752079	7508043	1.66881110608	1.56485518264	9.46514913816e-32	9.46514913816e-32	0.103955923441	0.086455294172	0.121547855745	N/A	N/A	
Metabolism	Amino Acid Metabolism	265520	731324	2752079	7508043	9.64797885526	9.74054091059	9.10958367353e-06	9.10958367353e-06	-0.092562055336	-0.133348683848	-0.0517005757641	N/A	N/A	
Metabolism	Enzyme Families	52814	146379	2752079	7508043	1.91905828285	1.94962921763	0.00165510286713	0.00165510286713	-0.0305709347798	-0.0495144456829	-0.0115384516306	N/A	N/A	
Organismal Systems	Circulatory System	1791	1051	2752079	7508043	0.0650780737036	0.0139983215333	0.0	0.0	0.0510797521702	0.048009206873	0.054270659326	N/A	N/A	
Organismal Systems	Environmental Adaptation	5258	8040	2752079	7508043	0.191055561995	0.107085161872	4.05971977535e-222	4.05971977535e-222	0.0839704001227	0.0783576153008	0.0896887357394	N/A	N/A	
Organismal Systems	Endocrine System	6766	27791	2752079	7508043	0.245850500658	0.370149718109	3.49412535442e-217	3.49412535442e-217	-0.124299217451	-0.131546259317	-0.116970926316	N/A	N/A	
Organismal Systems	Digestive System	991	6057	2752079	7508043	0.036009140726	0.0806734857539	4.97965081257e-147	4.97965081257e-147	-0.0446643450279	-0.0476561244607	-0.0416034848844	N/A	N/A	
Organismal Systems	Excretory System	919	3079	2752079	7508043	0.033392936758	0.0410093549011	2.76776576061e-08	2.76776576061e-08	-0.00761641814314	-0.0101739053698	-0.00497158054568	N/A	N/A	
Organismal Systems	Immune System	2175	6462	2752079	7508043	0.0790311615328	0.0860677009975	0.000559148038206	0.000559148038206	-0.00703653946466	-0.0109195710517	-0.00306297258871	N/A	N/A	
Organismal Systems	Nervous System	2207	6462	2752079	7508043	0.0801939188519	0.0860677009975	0.00405149746254	0.00405149746254	-0.00587378214556	-0.00977719096521	-0.00187945444585	N/A	N/A	
Poorly Characterized	Poorly Characterized_Unclassified	153172	456499	2752079	7508043	5.56568325255	6.08013299871	4.362358379e-212	4.362358379e-212	-0.514449746154	-0.546437709702	-0.482380864321	N/A	N/A	
