sequences per sample	TL3	T2	TL2	TL1	TS8	MT209	T9	T1	MN13	MN12	MN15	SM2	MT213	TS4	SM4	MT210	SM5	TS6
12800	130.8	174.9	132.2	113.3	137.0	82.7	178.8	167.2	148.4	180.9	146.1	66.9	87.1	144.7	118.8	59.3	36.3	99.1
1289	83.6	117.3	81.2	79.0	67.4	51.8	102.8	110.3	79.7	106.4	80.8	22.4	52.3	76.0	55.3	28.1	14.0	35.9
2568	98.8	139.6	97.9	90.5	85.1	60.9	130.2	133.4	98.3	126.9	100.6	33.3	61.9	94.8	74.3	34.1	18.8	52.1
3847	105.7	149.0	106.3	97.2	97.6	67.1	143.9	146.0	108.9	138.7	109.4	41.3	67.8	106.8	86.5	40.4	22.6	64.0
10	6.4	8.1	7.1	6.6	6.1	4.8	7.2	8.5	6.8	6.5	5.5	4.1	4.9	6.4	4.5	4.2	3.4	4.6
7684	118.9	164.4	121.1	106.4	120.4	77.1	164.1	158.9	128.6	161.7	132.6	55.3	79.2	129.1	102.8	49.4	31.3	83.9
8963	123.3	167.3	124.8	110.4	125.2	78.3	170.4	162.7	137.1	169.6	136.1	57.7	82.9	132.0	107.2	53.1	32.3	85.4
10242	125.8	169.5	128.3	111.3	128.6	79.8	176.0	163.7	139.5	173.4	142.5	60.8	82.9	138.1	110.0	54.8	33.2	92.0
5126	113.5	157.6	111.7	99.6	108.1	71.9	153.3	152.5	118.3	151.0	117.5	45.3	73.6	118.1	93.1	42.8	25.1	70.0
11521	127.0	174.0	129.6	113.2	133.6	82.1	178.9	164.8	142.9	175.9	144.1	64.5	83.7	141.4	116.5	55.4	35.0	96.7
6405	114.3	162.6	119.6	105.4	113.8	73.4	161.0	154.5	124.3	158.5	125.8	51.7	75.3	124.0	100.9	48.4	27.9	77.9
