# Constructed from biom file
#OTU ID	MN12	MN13	MN15	MT209	MT210	MT213	SM2	SM4	SM5	T1	T2	T9	TL1	TL2	TL3	TS4	TS6	TS8
Unassigned;Other;Other;Other;Other;Other	0.0052780395853	0.0135058017881	0.0317651184929	0.00758542812255	0.000251414204903	0.01045832596	0.00110545035086	0.00601766890017	0.000257624062087	0.000297825871141	0.00153877718506	0.00205436156764	0.00985382711437	0.00990147541787	0.0175008413866	0.00481625969272	0.00842539895101	0.00109306683323
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales];f__[Fimbriimonadaceae];g__Fimbriimonas	4.71253534402e-05	6.34075201319e-05	5.01027105566e-05	0.0	5.02828409805e-05	0.0	2.40315293665e-05	0.00183517562204	0.0	0.00322644693736	0.00584735330324	0.00869152970923	0.0105076355485	0.00583304739964	0.00855810375499	0.000481625969272	0.000167392032139	0.0
k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__[Amoebophilaceae];g__Candidatus Amoebophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00346170488966	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__	9.42507068803e-05	0.0	5.01027105566e-05	0.00991751767478	0.000301697045883	0.00725535303486	9.61261174661e-05	0.000213392514191	0.0	0.0145934676859	0.00487279441937	0.0102718078382	0.00756549759492	0.0210283809617	0.0239434588201	0.00101141453547	5.57973440464e-05	0.000234228607121
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Sediminibacterium	0.000565504241282	0.000634075201319	0.000851746079463	0.0234436370778	0.00462602137021	0.0317465935233	0.0050946842257	0.0236012120695	0.000805075194023	0.071279658493	0.122999589659	0.0982932996207	0.238966982674	0.148718200088	0.211789028319	0.0194576891586	0.00345943533088	0.00476264834478
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Thermogemmatisporales;f__Thermogemmatisporaceae;g__	9.42507068803e-05	0.0	0.0	0.00387863315004	0.000201131363922	0.000106175898071	0.000504662116697	0.0014510690965	0.000418639100892	0.00290380224362	0.000923266311038	0.0109671302149	0.0184000373605	0.0207342777315	0.0244723304005	0.000674276356981	0.0	7.80762023735e-05
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12;f__;g__	4.71253534402e-05	0.000126815040264	0.000250513552783	0.00886194029851	0.00145820238843	0.00132719872589	0.000336441411131	0.00439588579233	0.000128812031044	0.0136503524273	0.0156442347148	0.0200379266751	0.0518843693084	0.0329885789912	0.0433193903553	0.0070799017483	0.000948554848789	0.000780762023735
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Chlorophyta;f__Ulvophyceae;g__	0.0	0.0	0.0	0.0	2.51414204903e-05	0.0	0.0	0.0	0.0	0.00131539759754	0.0	0.0	0.0126091626582	0.00196068820156	0.0	0.00134855271396	5.57973440464e-05	7.80762023735e-05
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.0183317624882	0.00317037600659	0.0018538002906	0.0	0.0	0.0	2.40315293665e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000144237703736	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	0.0101790763431	6.34075201319e-05	0.00776592013628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
