	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	1.06653	0.63212	0.61517	0.55767	0.00071	0.00071
alpha_rarefaction_10_1.txt	10	1	1.08543	0.72512	1.13489	0.84521	0.00071	0.02972
alpha_rarefaction_10_2.txt	10	2	1.02433	0.47843	0.80935	0.7503	0.0082	0.00085
alpha_rarefaction_10_3.txt	10	3	0.92434	1.13321	0.61593	0.74686	0.00071	0.00071
alpha_rarefaction_10_4.txt	10	4	1.17193	0.64929	1.2222	0.55767	0.00071	0.00085
alpha_rarefaction_10_5.txt	10	5	1.01229	0.7814	0.77745	0.62155	0.0325	0.00071
alpha_rarefaction_10_6.txt	10	6	1.307	0.6408	1.16694	0.56154	0.00071	0.00071
alpha_rarefaction_10_7.txt	10	7	0.55696	0.42022	0.88237	0.85238	0.00085	0.00071
alpha_rarefaction_10_8.txt	10	8	1.05069	0.80806	1.20776	0.56154	0.00071	0.00085
alpha_rarefaction_10_9.txt	10	9	0.83544	0.79683	1.26815	0.55767	0.00071	0.00071
alpha_rarefaction_356_0.txt	356	0	4.50643	2.79369	5.97929	2.19101	0.68155	1.29935
alpha_rarefaction_356_1.txt	356	1	4.13021	3.09283	5.13537	1.37561	0.89861	1.53487
alpha_rarefaction_356_2.txt	356	2	4.34953	2.38359	5.17261	1.78922	1.0396	1.61356
alpha_rarefaction_356_3.txt	356	3	4.4795	2.50842	4.67148	1.85672	0.92015	1.25917
alpha_rarefaction_356_4.txt	356	4	4.81506	3.11835	5.05578	1.64071	0.4081	1.31415
alpha_rarefaction_356_5.txt	356	5	3.91385	3.24519	5.49967	1.76602	0.82998	0.68372
alpha_rarefaction_356_6.txt	356	6	4.73408	2.88793	5.33081	1.45477	0.56109	1.35226
alpha_rarefaction_356_7.txt	356	7	4.22028	3.06921	4.61839	1.7562	0.37323	0.75359
alpha_rarefaction_356_8.txt	356	8	4.72531	2.55038	5.17777	1.99379	0.762	1.80365
alpha_rarefaction_356_9.txt	356	9	4.11605	2.8428	5.03984	2.00157	0.05415	1.37395
alpha_rarefaction_702_0.txt	702	0	5.93911	3.44055	5.73597	2.34133	0.34506	1.78367
alpha_rarefaction_702_1.txt	702	1	5.54807	2.96936	5.95919	2.3846	1.29264	1.8335
alpha_rarefaction_702_2.txt	702	2	4.56288	3.48137	5.864	2.84492	1.11499	1.85783
alpha_rarefaction_702_3.txt	702	3	4.20689	2.72085	5.66313	2.45342	1.32409	1.69688
alpha_rarefaction_702_4.txt	702	4	4.77359	3.34567	5.78134	2.71491	0.96446	1.41477
alpha_rarefaction_702_5.txt	702	5	6.07789	3.21217	5.85085	2.15525	1.38439	1.38862
alpha_rarefaction_702_6.txt	702	6	5.71533	3.20594	6.28451	2.45126	1.5975	1.77936
alpha_rarefaction_702_7.txt	702	7	5.85145	2.83568	5.12784	1.8111	1.2478	1.3624
alpha_rarefaction_702_8.txt	702	8	5.89483	3.34459	6.00652	2.27838	0.64033	1.9595
alpha_rarefaction_702_9.txt	702	9	5.6943	2.86696	6.05676	2.99308	0.72357	1.27618
alpha_rarefaction_1048_0.txt	1048	0	5.93266	3.52632	6.27654	3.47177	0.77549	2.11911
alpha_rarefaction_1048_1.txt	1048	1	6.19943	3.52522	6.32712	3.13499	1.12592	1.88344
