	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	8.0	2.0	5.0	3.0	1.0	1.0
alpha_rarefaction_10_1.txt	10	1	7.0	7.0	9.0	5.33333333333	1.0	2.0
alpha_rarefaction_10_2.txt	10	2	4.5	2.0	4.0	5.5	2.0	2.0
alpha_rarefaction_10_3.txt	10	3	7.0	6.5	7.0	5.0	1.0	1.0
alpha_rarefaction_10_4.txt	10	4	4.5	5.0	22.0	3.0	1.0	2.0
alpha_rarefaction_10_5.txt	10	5	4.5	7.0	4.0	5.0	2.0	1.0
alpha_rarefaction_10_6.txt	10	6	22.0	7.0	6.5	5.0	1.0	1.0
alpha_rarefaction_10_7.txt	10	7	2.0	1.0	6.5	7.0	2.0	1.0
alpha_rarefaction_10_8.txt	10	8	5.33333333333	7.0	12.0	4.5	1.0	2.0
alpha_rarefaction_10_9.txt	10	9	3.0	7.0	16.0	3.0	1.0	1.0
alpha_rarefaction_356_0.txt	356	0	112.1	44.0	86.0	87.0	20.5	26.0
alpha_rarefaction_356_1.txt	356	1	84.1	86.875	70.3333333333	41.2	22.3333333333	44.0
alpha_rarefaction_356_2.txt	356	2	111.5	66.2	49.2727272727	67.25	18.0	29.75
alpha_rarefaction_356_3.txt	356	3	152.111111111	43.5	78.0	55.2	17.25	23.3333333333
alpha_rarefaction_356_4.txt	356	4	140.0	80.5	87.1666666667	52.3333333333	13.0	35.5
alpha_rarefaction_356_5.txt	356	5	77.5	60.0714285714	71.1	47.0	23.0	30.0
alpha_rarefaction_356_6.txt	356	6	89.0666666667	57.0909090909	66.75	28.0	13.5	41.75
alpha_rarefaction_356_7.txt	356	7	101.5	63.1	66.75	39.375	13.0	21.5
alpha_rarefaction_356_8.txt	356	8	163.5	52.0	62.2727272727	67.25	22.3333333333	28.0
alpha_rarefaction_356_9.txt	356	9	82.5	84.0	77.625	42.1666666667	10.0	23.2
