	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	0.0	0.0	0.0	1.0	0.0	0.0
alpha_rarefaction_10_1.txt	10	1	2.0	0.0	1.0	2.0	0.0	0.0
alpha_rarefaction_10_2.txt	10	2	1.0	0.0	1.0	1.0	0.0	0.0
alpha_rarefaction_10_3.txt	10	3	0.0	1.0	0.0	0.0	0.0	0.0
alpha_rarefaction_10_4.txt	10	4	1.0	0.0	0.0	2.0	0.0	0.0
alpha_rarefaction_10_5.txt	10	5	1.0	0.0	1.0	0.0	0.0	0.0
alpha_rarefaction_10_6.txt	10	6	0.0	0.0	1.0	0.0	0.0	0.0
alpha_rarefaction_10_7.txt	10	7	0.0	0.0	1.0	2.0	1.0	0.0
alpha_rarefaction_10_8.txt	10	8	2.0	0.0	1.0	1.0	0.0	0.0
alpha_rarefaction_10_9.txt	10	9	0.0	0.0	0.0	0.0	0.0	0.0
alpha_rarefaction_356_0.txt	356	0	9.0	9.0	13.0	2.0	1.0	2.0
alpha_rarefaction_356_1.txt	356	1	9.0	7.0	8.0	4.0	2.0	2.0
alpha_rarefaction_356_2.txt	356	2	11.0	4.0	10.0	3.0	2.0	3.0
alpha_rarefaction_356_3.txt	356	3	8.0	9.0	5.0	4.0	3.0	2.0
alpha_rarefaction_356_4.txt	356	4	9.0	7.0	5.0	2.0	1.0	1.0
alpha_rarefaction_356_5.txt	356	5	9.0	13.0	9.0	5.0	0.0	2.0
alpha_rarefaction_356_6.txt	356	6	14.0	10.0	7.0	3.0	3.0	3.0
alpha_rarefaction_356_7.txt	356	7	13.0	9.0	7.0	7.0	0.0	1.0
alpha_rarefaction_356_8.txt	356	8	7.0	8.0	10.0	3.0	2.0	2.0
alpha_rarefaction_356_9.txt	356	9	11.0	8.0	7.0	5.0	1.0	4.0
alpha_rarefaction_702_0.txt	702	0	18.0	8.0	9.0	5.0	2.0	5.0
alpha_rarefaction_702_1.txt	702	1	16.0	10.0	9.0	1.0	3.0	3.0
