	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	0.72	0.18	0.64	0.62	0.0	0.0
alpha_rarefaction_10_1.txt	10	1	0.8	0.48	0.76	0.74	0.0	0.18
alpha_rarefaction_10_2.txt	10	2	0.58	0.18	0.7	0.76	0.18	0.18
alpha_rarefaction_10_3.txt	10	3	0.48	0.68	0.48	0.64	0.0	0.0
alpha_rarefaction_10_4.txt	10	4	0.58	0.64	0.78	0.56	0.0	0.18
alpha_rarefaction_10_5.txt	10	5	0.58	0.48	0.7	0.64	0.18	0.0
alpha_rarefaction_10_6.txt	10	6	0.78	0.48	0.68	0.64	0.0	0.0
alpha_rarefaction_10_7.txt	10	7	0.48	0.0	0.68	0.8	0.32	0.0
alpha_rarefaction_10_8.txt	10	8	0.74	0.48	0.82	0.58	0.0	0.18
alpha_rarefaction_10_9.txt	10	9	0.54	0.48	0.7	0.58	0.0	0.0
alpha_rarefaction_356_0.txt	356	0	0.766049109961	0.359960863527	0.774034212852	0.770515086479	0.0873942684005	0.154888902916
alpha_rarefaction_356_1.txt	356	1	0.765386314859	0.404715313723	0.738795606615	0.740910238606	0.114016538316	0.189764549931
alpha_rarefaction_356_2.txt	356	2	0.794470395152	0.376404494382	0.73186781972	0.742204267138	0.087552076758	0.154967807095
alpha_rarefaction_356_3.txt	356	3	0.767422042671	0.369524049994	0.724198333544	0.73450321929	0.129181921475	0.189196439843
alpha_rarefaction_356_4.txt	356	4	0.789972856963	0.430232925136	0.72306211337	0.728111980811	0.0819183183941	0.134073980558
alpha_rarefaction_356_5.txt	356	5	0.716986491605	0.379213483146	0.770451963136	0.738022345663	0.0765528342381	0.164815048605
alpha_rarefaction_356_6.txt	356	6	0.756880444388	0.361428481252	0.714572023734	0.735260699407	0.129292387325	0.189796111602
alpha_rarefaction_356_7.txt	356	7	0.777648024239	0.404888902916	0.713814543618	0.750899507638	0.0818867567226	0.134026638051
alpha_rarefaction_356_8.txt	356	8	0.767927029415	0.408344905946	0.741762403737	0.748279888903	0.139691958086	0.155599040525
alpha_rarefaction_356_9.txt	356	9	0.765260068173	0.470884358036	0.788378992551	0.732483272314	0.0712504734251	0.180232925136
alpha_rarefaction_702_0.txt	702	0	0.774125210023	0.372009967452	0.762010860301	0.724969764856	0.101590084496	0.151691138871
alpha_rarefaction_702_1.txt	702	1	0.77155217896	0.397967548965	0.733987548802	0.736126330143	0.0940576781033	0.200452918402
alpha_rarefaction_702_2.txt	702	2	0.780403568153	0.447110818906	0.764547365687	0.740375483965	0.10486522025	0.185124309056
alpha_rarefaction_702_3.txt	702	3	0.746467155299	0.371648769085	0.724555807177	0.746824295257	0.096687526887	0.131102831958
alpha_rarefaction_702_4.txt	702	4	0.768167466173	0.411323771723	0.735586561797	0.749851868085	0.104739409583	0.14409379794
alpha_rarefaction_702_5.txt	702	5	0.775914968223	0.408357075024	0.73452325874	0.742153066939	0.104873337067	0.115404907428
alpha_rarefaction_702_6.txt	702	6	0.77184438438	0.378844327562	0.765988100746	0.725671869547	0.12068083863	0.192380743663
alpha_rarefaction_702_7.txt	702	7	0.772538372253	0.428689702194	0.719770943418	0.758569329794	0.12593241938	0.146825106939
alpha_rarefaction_702_8.txt	702	8	0.773768070064	0.411453640798	0.719405686642	0.740424184869	0.0832988368601	0.164195095819
alpha_rarefaction_702_9.txt	702	9	0.774182027743	0.386973320022	0.724003863605	0.740854376182	0.07511302668	0.172267270558
alpha_rarefaction_1048_0.txt	1048	0	0.784791824486	0.412943957229	0.75203040324	0.751178180176	0.0979983683935	0.169880106054
alpha_rarefaction_1048_1.txt	1048	1	0.777538823495	0.411046486219	0.763333284774	0.736537424975	0.0906743488142	0.140658688305
alpha_rarefaction_1048_2.txt	1048	2	0.780304906474	0.398303202028	0.745926446594	0.732975569606	0.108833255638	0.131628401608
alpha_rarefaction_1048_3.txt	1048	3	0.771012397296	0.386240967892	0.74980151215	0.736258813589	0.105224054542	0.156047870171
alpha_rarefaction_1048_4.txt	1048	4	0.767018967426	0.397409096207	0.764050754618	0.738795451897	0.108647514714	0.152458699959
alpha_rarefaction_1048_5.txt	1048	5	0.770861255172	0.390822577356	0.739576656372	0.750473457258	0.114292582017	0.121101261581
