	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	5.0	2.0	4.0	3.0	1.0	1.0
alpha_rarefaction_10_1.txt	10	1	6.0	4.0	6.0	5.0	1.0	2.0
alpha_rarefaction_10_2.txt	10	2	4.0	2.0	4.0	5.0	2.0	2.0
alpha_rarefaction_10_3.txt	10	3	4.0	5.0	4.0	4.0	1.0	1.0
alpha_rarefaction_10_4.txt	10	4	4.0	4.0	7.0	3.0	1.0	2.0
alpha_rarefaction_10_5.txt	10	5	4.0	4.0	4.0	4.0	2.0	1.0
alpha_rarefaction_10_6.txt	10	6	7.0	4.0	5.0	4.0	1.0	1.0
alpha_rarefaction_10_7.txt	10	7	2.0	1.0	5.0	6.0	2.0	1.0
alpha_rarefaction_10_8.txt	10	8	5.0	4.0	7.0	4.0	1.0	2.0
alpha_rarefaction_10_9.txt	10	9	3.0	4.0	6.0	3.0	1.0	1.0
alpha_rarefaction_356_0.txt	356	0	56.0	32.0	57.0	30.0	10.0	14.0
alpha_rarefaction_356_1.txt	356	1	49.0	43.0	47.0	23.0	13.0	18.0
alpha_rarefaction_356_2.txt	356	2	59.0	32.0	41.0	29.0	11.0	16.0
alpha_rarefaction_356_3.txt	356	3	61.0	33.0	43.0	28.0	12.0	14.0
alpha_rarefaction_356_4.txt	356	4	62.0	43.0	45.0	22.0	8.0	13.0
alpha_rarefaction_356_5.txt	356	5	45.0	42.0	48.0	27.0	8.0	15.0
alpha_rarefaction_356_6.txt	356	6	56.0	38.0	43.0	19.0	11.0	19.0
alpha_rarefaction_356_7.txt	356	7	59.0	40.0	43.0	28.0	7.0	11.0
alpha_rarefaction_356_8.txt	356	8	61.0	35.0	45.0	29.0	13.0	16.0
alpha_rarefaction_356_9.txt	356	9	51.0	45.0	46.0	27.0	7.0	16.0
alpha_rarefaction_702_0.txt	702	0	89.0	47.0	60.0	36.0	11.0	21.0
alpha_rarefaction_702_1.txt	702	1	76.0	48.0	64.0	43.0	17.0	30.0
alpha_rarefaction_702_2.txt	702	2	81.0	56.0	58.0	45.0	21.0	25.0
alpha_rarefaction_702_3.txt	702	3	69.0	45.0	60.0	45.0	14.0	23.0
alpha_rarefaction_702_4.txt	702	4	78.0	57.0	62.0	44.0	17.0	22.0
alpha_rarefaction_702_5.txt	702	5	82.0	50.0	62.0	38.0	23.0	20.0
alpha_rarefaction_702_6.txt	702	6	81.0	47.0	68.0	35.0	22.0	21.0
alpha_rarefaction_702_7.txt	702	7	87.0	54.0	49.0	45.0	20.0	20.0
alpha_rarefaction_702_8.txt	702	8	89.0	52.0	66.0	40.0	16.0	25.0
alpha_rarefaction_702_9.txt	702	9	84.0	48.0	60.0	38.0	15.0	25.0
alpha_rarefaction_1048_0.txt	1048	0	101.0	61.0	71.0	55.0	18.0	31.0
alpha_rarefaction_1048_1.txt	1048	1	105.0	54.0	72.0	59.0	19.0	25.0
alpha_rarefaction_1048_2.txt	1048	2	99.0	55.0	72.0	42.0	24.0	29.0
alpha_rarefaction_1048_3.txt	1048	3	103.0	55.0	71.0	51.0	19.0	33.0
alpha_rarefaction_1048_4.txt	1048	4	96.0	62.0	63.0	51.0	21.0	27.0
alpha_rarefaction_1048_5.txt	1048	5	102.0	58.0	69.0	51.0	24.0	26.0
alpha_rarefaction_1048_6.txt	1048	6	96.0	60.0	73.0	52.0	22.0	22.0
alpha_rarefaction_1048_7.txt	1048	7	95.0	52.0	69.0	49.0	20.0	30.0
alpha_rarefaction_1048_8.txt	1048	8	96.0	57.0	67.0	53.0	23.0	29.0
