# Constructed from biom file
#OTU ID	C11	C12	D1af	D1bf	D3af	D5bf
Unassigned;Other	0.0	0.0	0.0010752688172	0.0	0.0	0.0037521361171
k__Bacteria;p__Acidobacteria	0.0	0.0	0.00174731182796	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.00116454308809	0.000287769784173	0.0684139784946	0.00458584121525	0.0363947239863	0.0633776655026
k__Bacteria;p__Bacteroidetes	0.00342512672969	0.000863309352518	0.00806451612903	0.00171969045572	0.00122129946263	0.0082472694851
k__Bacteria;p__Chlorobi	0.0	0.0	0.0	0.0	0.0	0.000445798350546
k__Bacteria;p__Chloroflexi	6.85025345938e-05	0.0	0.0	0.000859845227859	0.0	0.0146741957055
k__Bacteria;p__Firmicutes	0.00184956843403	0.000863309352518	0.383602150538	0.201490398395	0.909623839766	0.198083067093
k__Bacteria;p__Proteobacteria	0.993492259214	0.997985611511	0.536290322581	0.791344224706	0.0493404982902	0.70038635857
k__Bacteria;p__SBR1093	0.0	0.0	0.000806451612903	0.0	0.0	0.0
k__Bacteria;p__TM7	0.0	0.0	0.0	0.0	0.0	0.00100304628873
k__Bacteria;p__WPS-2	0.0	0.0	0.0	0.0	0.0	0.0100304628873
k__Bacteria;p__[Thermi]	0.0	0.0	0.0	0.0	0.00341963849536	0.0
