	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	1.06041	0.60941	0.85864	0.94715	0.65248	0.02533
alpha_rarefaction_10_1.txt	10	1	0.81139	0.47843	1.22849	0.56526	0.00085	0.00071
alpha_rarefaction_10_2.txt	10	2	1.41193	0.68043	0.74718	0.55767	0.00071	0.00071
alpha_rarefaction_10_3.txt	10	3	0.56124	0.63963	0.57336	0.56168	0.00085	0.03004
alpha_rarefaction_10_4.txt	10	4	1.22309	0.85768	0.96148	0.55767	0.03635	0.00071
alpha_rarefaction_10_5.txt	10	5	1.1352	0.58126	0.91204	0.57002	0.00071	0.00071
alpha_rarefaction_10_6.txt	10	6	1.12434	0.63212	1.34385	0.55767	0.00602	0.00071
alpha_rarefaction_10_7.txt	10	7	1.15286	0.65978	1.09223	0.56154	0.00085	0.00071
alpha_rarefaction_10_8.txt	10	8	1.02106	0.77394	1.89591	0.72825	0.65248	0.00085
alpha_rarefaction_10_9.txt	10	9	1.20611	0.93026	1.32905	0.56541	0.03253	0.00085
alpha_rarefaction_356_0.txt	356	0	3.98509	2.80571	4.89987	1.89278	1.06751	1.57064
alpha_rarefaction_356_1.txt	356	1	4.82057	3.17869	4.96142	1.90397	0.67107	2.24261
alpha_rarefaction_356_2.txt	356	2	3.93423	2.50772	5.35743	1.98575	1.06147	0.97304
alpha_rarefaction_356_3.txt	356	3	3.78818	2.5547	4.75323	2.23306	1.06084	1.30188
alpha_rarefaction_356_4.txt	356	4	3.73586	2.63	5.01029	1.66594	1.23346	1.51375
alpha_rarefaction_356_5.txt	356	5	3.69165	2.86541	5.21086	2.0268	0.44991	1.14463
alpha_rarefaction_356_6.txt	356	6	4.38766	2.10356	4.73874	1.63901	0.80618	0.58492
alpha_rarefaction_356_7.txt	356	7	3.8872	2.82054	5.30394	1.32609	0.7354	1.24048
alpha_rarefaction_356_8.txt	356	8	4.05126	2.79024	5.32756	2.21405	0.5961	0.7977
alpha_rarefaction_356_9.txt	356	9	3.69314	2.68545	4.93728	2.20211	0.71096	1.32084
alpha_rarefaction_702_0.txt	702	0	5.55578	3.33337	5.64309	2.30453	1.08256	1.55965
alpha_rarefaction_702_1.txt	702	1	5.46909	3.06815	6.17193	2.42284	0.89002	0.96732
alpha_rarefaction_702_2.txt	702	2	6.34421	3.05216	5.63224	2.83565	0.68036	1.49592
alpha_rarefaction_702_3.txt	702	3	5.42661	3.28575	5.49533	2.61048	0.98927	1.86139
alpha_rarefaction_702_4.txt	702	4	4.85066	3.36437	5.84028	2.19356	0.94153	1.60583
alpha_rarefaction_702_5.txt	702	5	5.49833	3.00605	5.72811	2.63522	0.6126	1.19468
alpha_rarefaction_702_6.txt	702	6	5.80688	3.34563	5.46231	1.67939	0.38299	1.94267
alpha_rarefaction_702_7.txt	702	7	4.96936	2.78075	5.41648	2.76795	1.01898	2.25231
alpha_rarefaction_702_8.txt	702	8	6.38041	3.0159	5.51937	2.45945	1.63184	1.26396
alpha_rarefaction_702_9.txt	702	9	5.44749	2.9104	5.58422	3.19868	1.10703	1.70294
alpha_rarefaction_1048_0.txt	1048	0	5.78467	3.81926	5.81559	2.62017	1.01663	1.39539
alpha_rarefaction_1048_1.txt	1048	1	5.34352	3.751	6.20279	3.42862	1.18779	1.41931
alpha_rarefaction_1048_2.txt	1048	2	5.95992	3.82033	6.1618	2.95787	0.76195	1.79168
alpha_rarefaction_1048_3.txt	1048	3	5.91286	3.88221	6.21821	3.26705	1.73557	1.89934
alpha_rarefaction_1048_4.txt	1048	4	6.11855	3.7002	6.33142	2.64489	1.31039	2.04778
alpha_rarefaction_1048_5.txt	1048	5	6.14828	3.75129	6.30569	3.06608	1.29744	2.03656
alpha_rarefaction_1048_6.txt	1048	6	6.0878	3.69009	6.26936	2.72893	1.38845	2.15803
alpha_rarefaction_1048_7.txt	1048	7	6.72474	3.47128	6.37253	3.13109	1.60921	1.84705
alpha_rarefaction_1048_8.txt	1048	8	6.10583	3.46682	6.03449	2.7965	1.55549	1.66904
alpha_rarefaction_1048_9.txt	1048	9	5.47215	3.20793	5.99239	2.87488	1.30506	1.97317
alpha_rarefaction_1394_0.txt	1394	0	6.73744	3.9585	6.06343	3.35648	1.73259	1.539
alpha_rarefaction_1394_1.txt	1394	1	6.55384	3.94534	5.99052	3.19549	1.63444	2.37802
alpha_rarefaction_1394_2.txt	1394	2	5.92739	3.95933	6.40781	3.42297	1.16223	2.43374
alpha_rarefaction_1394_3.txt	1394	3	6.98131	3.63199	6.39368	3.60415	1.73762	2.3896
alpha_rarefaction_1394_4.txt	1394	4	6.3589	3.74967	6.35628	3.23978	1.52887	2.09947
alpha_rarefaction_1394_5.txt	1394	5	6.57492	3.41973	6.40161	3.20708	1.52021	2.23347
alpha_rarefaction_1394_6.txt	1394	6	6.67783	3.64306	6.21368	3.24607	1.35275	1.85734
alpha_rarefaction_1394_7.txt	1394	7	6.58821	3.91647	6.67281	3.43679	1.64509	1.8065
alpha_rarefaction_1394_8.txt	1394	8	6.36397	3.9292	6.59858	3.4303	1.38422	2.53557
alpha_rarefaction_1394_9.txt	1394	9	6.74001	3.93935	6.45713	3.01996	1.49932	2.1434
alpha_rarefaction_1740_0.txt	1740	0	6.58644	3.86118	6.28236	3.30284	1.65535	2.22609
alpha_rarefaction_1740_1.txt	1740	1	6.74033	4.05922	6.59776	3.58554	1.72596	2.20036
alpha_rarefaction_1740_2.txt	1740	2	6.67603	3.90831	6.22956	3.53645	1.64499	2.28289
alpha_rarefaction_1740_3.txt	1740	3	6.83638	3.92542	6.47102	3.53328	1.80584	2.02833
alpha_rarefaction_1740_4.txt	1740	4	6.78845	3.71229	6.39357	3.38081	1.82643	2.46367
alpha_rarefaction_1740_5.txt	1740	5	6.91727	3.4567	6.64642	3.50988	2.00601	1.76166
alpha_rarefaction_1740_6.txt	1740	6	6.7402	4.02595	6.42079	3.45907	1.54738	2.53549
alpha_rarefaction_1740_7.txt	1740	7	7.00047	3.84643	6.65994	3.6979	1.76795	2.13543
alpha_rarefaction_1740_8.txt	1740	8	6.72849	3.95424	5.94154	3.52602	1.89023	2.35876
alpha_rarefaction_1740_9.txt	1740	9	7.33589	3.76777	6.51238	3.65182	1.61934	1.51988
alpha_rarefaction_2086_0.txt	2086	0	6.96873	3.92876	6.52366	3.3965	1.45719	2.63769
alpha_rarefaction_2086_1.txt	2086	1	7.22724	3.99036	6.29478	3.59165	1.79317	2.43079
alpha_rarefaction_2086_2.txt	2086	2	6.77008	3.69393	6.52599	3.73069	1.52798	2.14195
alpha_rarefaction_2086_3.txt	2086	3	7.11196	3.97498	6.28261	3.86957	1.98935	2.1766
alpha_rarefaction_2086_4.txt	2086	4	7.09595	3.96132	6.58615	3.60716	2.02347	2.98048
alpha_rarefaction_2086_5.txt	2086	5	7.17075	3.91375	6.32529	3.54384	1.62765	2.00065
alpha_rarefaction_2086_6.txt	2086	6	7.11188	3.90589	6.17181	3.63829	1.77761	2.6439
alpha_rarefaction_2086_7.txt	2086	7	7.06021	3.74995	6.41027	3.6736	1.7693	2.36723
alpha_rarefaction_2086_8.txt	2086	8	6.76453	4.1663	6.45152	3.23546	1.29837	2.79987
alpha_rarefaction_2086_9.txt	2086	9	7.16226	4.10076	6.7065	3.84306	1.44947	2.60073
alpha_rarefaction_2432_0.txt	2432	0	6.73008	4.05711	6.32965	3.92512	1.97831	2.722
alpha_rarefaction_2432_1.txt	2432	1	6.86693	3.90617	6.60675	3.59786	1.81511	2.84159
alpha_rarefaction_2432_2.txt	2432	2	7.24265	4.13203	6.6402	3.80289	1.87504	2.53942
