	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	12.0	2.0	6.5	6.5	2.0	2.0
alpha_rarefaction_10_1.txt	10	1	4.5	2.0	7.0	5.33333333333	2.0	1.0
alpha_rarefaction_10_2.txt	10	2	8.0	7.0	7.0	3.0	1.0	1.0
alpha_rarefaction_10_3.txt	10	3	3.0	4.0	3.0	6.5	2.0	4.0
alpha_rarefaction_10_4.txt	10	4	9.0	4.0	6.5	3.0	4.0	1.0
alpha_rarefaction_10_5.txt	10	5	4.5	4.0	6.5	16.0	1.0	1.0
alpha_rarefaction_10_6.txt	10	6	5.0	2.0	29.0	3.0	2.0	1.0
alpha_rarefaction_10_7.txt	10	7	8.0	4.0	11.0	4.0	2.0	1.0
alpha_rarefaction_10_8.txt	10	8	4.0	4.0	16.0	4.0	2.0	2.0
alpha_rarefaction_10_9.txt	10	9	11.0	16.0	7.0	7.0	4.0	2.0
alpha_rarefaction_356_0.txt	356	0	83.0	58.5	53.2307692308	52.25	30.0	18.2
alpha_rarefaction_356_1.txt	356	1	124.0	66.6666666667	70.0909090909	42.0	38.0	33.5
alpha_rarefaction_356_2.txt	356	2	109.866666667	49.1111111111	67.0909090909	40.1666666667	48.0	24.0
alpha_rarefaction_356_3.txt	356	3	84.0	67.1111111111	46.0	69.0	68.0	20.6
alpha_rarefaction_356_4.txt	356	4	120.909090909	40.5833333333	63.1538461538	66.0	26.25	33.5
alpha_rarefaction_356_5.txt	356	5	80.1	119.333333333	70.75	45.75	20.5	35.3333333333
alpha_rarefaction_356_6.txt	356	6	111.125	52.0	47.6666666667	70.3333333333	11.0	8.5
alpha_rarefaction_356_7.txt	356	7	201.5	65.6666666667	52.5833333333	42.125	35.5	20.0
alpha_rarefaction_356_8.txt	356	8	116.333333333	79.75	62.2727272727	71.3333333333	18.0	26.0
alpha_rarefaction_356_9.txt	356	9	152.142857143	86.875	82.3333333333	66.2	29.0	64.5
alpha_rarefaction_702_0.txt	702	0	166.0	60.6	80.0909090909	78.9090909091	23.1428571429	33.1428571429
alpha_rarefaction_702_1.txt	702	1	127.333333333	92.1111111111	103.8	48.0	22.2	22.0
alpha_rarefaction_702_2.txt	702	2	130.05	59.0	76.0	93.3333333333	29.0	31.0
alpha_rarefaction_702_3.txt	702	3	165.25	61.4615384615	87.1111111111	87.0	44.0	29.0
alpha_rarefaction_702_4.txt	702	4	150.0	69.5454545455	90.0	52.1111111111	24.0	88.3333333333
alpha_rarefaction_702_5.txt	702	5	117.0	64.1	100.111111111	79.5	27.25	32.0
alpha_rarefaction_702_6.txt	702	6	144.066666667	93.4285714286	83.2	53.25	16.0	39.6
alpha_rarefaction_702_7.txt	702	7	121.157894737	65.25	78.0	73.6666666667	28.0	67.0
alpha_rarefaction_702_8.txt	702	8	133.0	72.3333333333	73.1	69.0	40.0	42.0
alpha_rarefaction_702_9.txt	702	9	124.3125	68.1538461538	92.5	100.375	30.75	40.2
alpha_rarefaction_1048_0.txt	1048	0	122.15625	92.1428571429	77.0	62.6153846154	33.75	32.25
alpha_rarefaction_1048_1.txt	1048	1	104.181818182	74.5882352941	92.3	100.153846154	34.2	111.5
alpha_rarefaction_1048_2.txt	1048	2	141.555555556	92.5454545455	108.363636364	85.5	23.6666666667	43.6666666667
