	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	0.0	0.0	1.0	1.0	0.0	0.0
alpha_rarefaction_10_1.txt	10	1	1.0	0.0	2.0	2.0	0.0	0.0
alpha_rarefaction_10_2.txt	10	2	0.0	0.0	0.0	1.0	0.0	0.0
alpha_rarefaction_10_3.txt	10	3	0.0	0.0	0.0	1.0	0.0	0.0
alpha_rarefaction_10_4.txt	10	4	1.0	0.0	1.0	1.0	0.0	0.0
alpha_rarefaction_10_5.txt	10	5	1.0	0.0	1.0	0.0	0.0	0.0
alpha_rarefaction_10_6.txt	10	6	0.0	0.0	0.0	1.0	0.0	0.0
alpha_rarefaction_10_7.txt	10	7	0.0	0.0	0.0	0.0	0.0	0.0
alpha_rarefaction_10_8.txt	10	8	1.0	0.0	0.0	2.0	0.0	0.0
alpha_rarefaction_10_9.txt	10	9	0.0	0.0	2.0	2.0	0.0	0.0
alpha_rarefaction_356_0.txt	356	0	13.0	13.0	12.0	3.0	1.0	4.0
alpha_rarefaction_356_1.txt	356	1	12.0	5.0	10.0	6.0	0.0	3.0
alpha_rarefaction_356_2.txt	356	2	14.0	8.0	10.0	5.0	0.0	3.0
alpha_rarefaction_356_3.txt	356	3	13.0	8.0	12.0	4.0	0.0	4.0
alpha_rarefaction_356_4.txt	356	4	10.0	11.0	12.0	5.0	3.0	3.0
alpha_rarefaction_356_5.txt	356	5	9.0	2.0	7.0	3.0	1.0	2.0
alpha_rarefaction_356_6.txt	356	6	7.0	7.0	8.0	2.0	1.0	1.0
alpha_rarefaction_356_7.txt	356	7	5.0	8.0	11.0	7.0	1.0	2.0
alpha_rarefaction_356_8.txt	356	8	8.0	3.0	10.0	2.0	2.0	2.0
alpha_rarefaction_356_9.txt	356	9	6.0	7.0	8.0	4.0	2.0	1.0
alpha_rarefaction_702_0.txt	702	0	13.0	9.0	10.0	10.0	6.0	6.0
alpha_rarefaction_702_1.txt	702	1	17.0	8.0	9.0	9.0	4.0	6.0
alpha_rarefaction_702_2.txt	702	2	19.0	11.0	14.0	8.0	4.0	4.0
alpha_rarefaction_702_3.txt	702	3	11.0	12.0	8.0	5.0	2.0	4.0
alpha_rarefaction_702_4.txt	702	4	14.0	10.0	5.0	8.0	3.0	2.0
alpha_rarefaction_702_5.txt	702	5	18.0	9.0	8.0	9.0	3.0	2.0
alpha_rarefaction_702_6.txt	702	6	14.0	6.0	4.0	11.0	4.0	4.0
alpha_rarefaction_702_7.txt	702	7	18.0	11.0	9.0	8.0	4.0	4.0
alpha_rarefaction_702_8.txt	702	8	22.0	8.0	9.0	6.0	6.0	2.0
alpha_rarefaction_702_9.txt	702	9	15.0	12.0	9.0	7.0	3.0	4.0
alpha_rarefaction_1048_0.txt	1048	0	31.0	6.0	7.0	12.0	3.0	7.0
alpha_rarefaction_1048_1.txt	1048	1	32.0	16.0	9.0	12.0	4.0	1.0
