	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	6.0	2.0	5.0	5.0	2.0	2.0
alpha_rarefaction_10_1.txt	10	1	4.0	2.0	6.0	5.0	2.0	1.0
alpha_rarefaction_10_2.txt	10	2	5.0	4.0	4.0	3.0	1.0	1.0
alpha_rarefaction_10_3.txt	10	3	3.0	3.0	3.0	5.0	2.0	3.0
alpha_rarefaction_10_4.txt	10	4	6.0	3.0	5.0	3.0	3.0	1.0
alpha_rarefaction_10_5.txt	10	5	4.0	3.0	5.0	6.0	1.0	1.0
alpha_rarefaction_10_6.txt	10	6	4.0	2.0	8.0	3.0	2.0	1.0
alpha_rarefaction_10_7.txt	10	7	5.0	3.0	5.0	4.0	2.0	1.0
alpha_rarefaction_10_8.txt	10	8	4.0	3.0	6.0	4.0	2.0	2.0
alpha_rarefaction_10_9.txt	10	9	5.0	6.0	6.0	6.0	3.0	2.0
alpha_rarefaction_356_0.txt	356	0	56.0	42.0	44.0	26.0	12.0	14.0
alpha_rarefaction_356_1.txt	356	1	64.0	35.0	45.0	27.0	10.0	17.0
alpha_rarefaction_356_2.txt	356	2	63.0	34.0	48.0	25.0	12.0	15.0
alpha_rarefaction_356_3.txt	356	3	55.0	39.0	40.0	31.0	13.0	15.0
alpha_rarefaction_356_4.txt	356	4	57.0	33.0	47.0	31.0	15.0	17.0
alpha_rarefaction_356_5.txt	356	5	45.0	35.0	47.0	23.0	10.0	17.0
alpha_rarefaction_356_6.txt	356	6	53.0	35.0	39.0	25.0	8.0	7.0
alpha_rarefaction_356_7.txt	356	7	58.0	40.0	45.0	29.0	13.0	13.0
alpha_rarefaction_356_8.txt	356	8	54.0	37.0	45.0	26.0	11.0	14.0
alpha_rarefaction_356_9.txt	356	9	57.0	43.0	49.0	32.0	14.0	19.0
alpha_rarefaction_702_0.txt	702	0	82.0	47.0	61.0	47.0	18.0	22.0
alpha_rarefaction_702_1.txt	702	1	84.0	56.0	66.0	36.0	15.0	18.0
alpha_rarefaction_702_2.txt	702	2	87.0	49.0	62.0	45.0	18.0	20.0
alpha_rarefaction_702_3.txt	702	3	79.0	51.0	59.0	41.0	18.0	18.0
alpha_rarefaction_702_4.txt	702	4	81.0	54.0	55.0	37.0	15.0	25.0
alpha_rarefaction_702_5.txt	702	5	80.0	47.0	64.0	47.0	16.0	17.0
alpha_rarefaction_702_6.txt	702	6	81.0	54.0	56.0	39.0	13.0	24.0
alpha_rarefaction_702_7.txt	702	7	78.0	51.0	57.0	43.0	17.0	29.0
alpha_rarefaction_702_8.txt	702	8	88.0	49.0	56.0	39.0	25.0	20.0
alpha_rarefaction_702_9.txt	702	9	78.0	52.0	60.0	46.0	17.0	22.0
alpha_rarefaction_1048_0.txt	1048	0	99.0	56.0	60.0	48.0	20.0	24.0
alpha_rarefaction_1048_1.txt	1048	1	91.0	61.0	67.0	57.0	21.0	26.0
alpha_rarefaction_1048_2.txt	1048	2	96.0	63.0	74.0	48.0	19.0	32.0
alpha_rarefaction_1048_3.txt	1048	3	97.0	61.0	72.0	54.0	23.0	28.0
alpha_rarefaction_1048_4.txt	1048	4	100.0	60.0	69.0	54.0	21.0	32.0
alpha_rarefaction_1048_5.txt	1048	5	92.0	60.0	68.0	57.0	23.0	28.0
alpha_rarefaction_1048_6.txt	1048	6	104.0	58.0	71.0	54.0	23.0	35.0
alpha_rarefaction_1048_7.txt	1048	7	103.0	54.0	72.0	52.0	23.0	26.0
alpha_rarefaction_1048_8.txt	1048	8	102.0	60.0	70.0	48.0	21.0	22.0
alpha_rarefaction_1048_9.txt	1048	9	96.0	54.0	73.0	55.0	20.0	33.0
alpha_rarefaction_1394_0.txt	1394	0	109.0	64.0	66.0	61.0	27.0	31.0
alpha_rarefaction_1394_1.txt	1394	1	110.0	69.0	72.0	57.0	25.0	39.0
alpha_rarefaction_1394_2.txt	1394	2	108.0	66.0	82.0	58.0	21.0	34.0
alpha_rarefaction_1394_3.txt	1394	3	112.0	59.0	80.0	66.0	24.0	35.0
alpha_rarefaction_1394_4.txt	1394	4	112.0	65.0	76.0	60.0	25.0	36.0
alpha_rarefaction_1394_5.txt	1394	5	111.0	54.0	76.0	56.0	24.0	34.0
alpha_rarefaction_1394_6.txt	1394	6	110.0	60.0	77.0	55.0	25.0	33.0
alpha_rarefaction_1394_7.txt	1394	7	114.0	65.0	82.0	54.0	25.0	33.0
alpha_rarefaction_1394_8.txt	1394	8	117.0	62.0	77.0	58.0	22.0	33.0
alpha_rarefaction_1394_9.txt	1394	9	109.0	72.0	81.0	65.0	25.0	37.0
alpha_rarefaction_1740_0.txt	1740	0	115.0	70.0	81.0	59.0	27.0	38.0
