Feature ID	score	A	B	T	idQM	idQA	idQB	idAB	idQT	LY	LN	LA	RY	RN	RA	div	YN
4409533;size=206	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
1105706;size=190	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
830917;size=190	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
236255;size=185	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4379915;size=181	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
220101;size=174	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2645712;size=143	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
845926;size=125	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
587313;size=118	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
205839;size=116	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
4458222;size=114	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
625385;size=113	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
287074;size=109	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
329628;size=91	0.0272	830917;size=190	1105706;size=190	830917;size=190	81.4	80.2	78.1	73.3	80.2	30	22	21	4	1	2	1.2	N
1066562;size=85	0.0272	1105706;size=190	830917;size=190	1105706;size=190	86.3	85.9	80.7	73.5	85.9	25	11	11	12	11	1	0.4	N
807707;size=82	0.0413	830917;size=190	236255;size=185	236255;size=185	79.9	75.5	77.9	72.3	77.9	6	1	4	28	17	28	2.0	N
954745;size=82	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
151959;size=80	0.0478	830917;size=190	236255;size=185	236255;size=185	81.4	75.5	79.3	71.7	79.3	6	1	4	30	16	23	2.1	N
222564;size=75	0.0265	236255;size=185	830917;size=190	830917;size=190	80.3	75.9	78.7	72.3	78.7	10	6	7	23	12	24	1.6	N
4308710;size=73	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
654524;size=72	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
136106;size=69	0.0073	2834455;size=266	4379915;size=181	4379915;size=181	75.8	74.6	75.4	88.6	75.4	5	4	17	6	3	33	0.4	N
588387;size=63	0.0153	1105706;size=190	830917;size=190	1105706;size=190	78.8	78.3	75.0	72.9	78.3	24	15	29	4	3	4	0.4	N
2650177;size=58	0.0723	205839;size=116	2645712;size=143	2645712;size=143	77.9	75.0	76.2	76.2	76.2	22	18	35	7	0	0	1.7	N
389053;size=58	0.007	4379915;size=181	4409533;size=206	4379915;size=181	73.2	71.9	71.5	91.5	71.9	5	1	27	3	0	35	1.3	N
849683;size=56	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
151071;size=55	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
1142462;size=53	0.0	*	*	*	*	*	*	*	*	0	0	0	0	0	0	*	N
2867531;size=52	0.1626	625385;size=113	2645712;size=143	625385;size=113	89.8	88.2	75.1	79.6	88.2	38	2	6	5	1	16	1.6	N
4320239;size=51	0.0357	2645712;size=143	625385;size=113	2645712;size=143	81.4	81.0	79.7	79.3	81.0	4	0	0	16	15	29	0.4	N
710555;size=49	0.0153	1105706;size=190	4458222;size=114	1105706;size=190	78.3	77.9	75.7	76.6	77.9	14	8	10	10	9	24	0.4	N
810595;size=49	0.0277	4458222;size=114	2645712;size=143	4458222;size=114	84.8	83.5	80.2	75.9	83.5	21	10	15	9	6	5	1.3	N
4349212;size=48	0.0395	625385;size=113	830917;size=190	830917;size=190	81.4	77.7	78.5	81.4	78.5	10	3	13	13	4	25	2.9	N
682244;size=48	0.0148	236255;size=185	587313;size=118	587313;size=118	72.9	69.5	72.5	74.2	72.5	9	8	15	16	8	33	0.4	N
810952;size=48	0.0221	830917;size=190	625385;size=113	625385;size=113	73.2	67.9	72.4	81.3	72.4	3	1	3	20	7	55	0.8	N
